Features,V1 vs V2,V1 vs V3,V1 vs V4,V2 vs V3,V2 vs V4,V3 vs V4
NP1ANXS,0.427196846,0.108333344,0.066467704,0.080501496,0.069726278,0.00196232
NP1APAT,0.049493544,0.00043124,0.0000535329,0.038757658,0.007186172,0.255703573
NP1COG,0.454782658,0.098236832,0.00000467927,0.110716484,0.00000365106,0.0000462819
NP1DDS,0.159187642,0.035891103,0.002477869,0.18516324,0.026215903,0.091505
NP1DPRS,0.095998505,0.045926852,0.004221151,0.305299919,0.09360874,0.211015033
NP1HALL,0.124540199,0.019335856,0.000305266,0.11301661,0.001841685,0.017700542
NP1CNST,0.000000385478,0.00000000381839,7.32779E-11,0.023763966,0.000343968,0.04849703
NP1FATG,0.239673332,0.086319785,0.0000117532,0.261512136,0.000193954,0.000961696
NP1LTHD,0.061171629,0.002750904,0.00000304697,0.067157557,0.000264193,0.008996158
NP1PAIN,0.005091787,0.006142723,0.0000000353314,0.473742843,0.000234536,0.000289421
NP1SLPD,0.008599603,0.0000243499,1.5864E-14,0.017306216,0.000000001427,0.00000172898
NP1SLPN,0.003152567,0.000199087,1.27423E-11,0.192298782,0.00000108733,0.0000339131
NP1URIN,0.00020026,0.000160917,2.7602E-11,0.275482532,0.00000805594,0.0000160247
NP2DRES,0.0000201236,0.000011936,1.59979E-14,0.329836215,0.000000305485,0.0000000705405
NP2EAT,0.0000565471,0.00000273385,9.49389E-13,0.132235896,0.00000335697,0.00011703
NP2FREZ,0.001841685,0.000493313,0.000000257394,0.074976812,0.000162204,0.007330363
NP2HOBB,0.00345982,0.000960709,1.63311E-10,0.235050013,0.00000118062,0.0000139836
NP2HWRT,0.011861525,0.000855714,3.24055E-11,0.082101479,0.000000127966,0.0000204064
NP2HYGN,0.051884569,0.287437668,0.001400754,0.121079901,0.02625249,0.000871227
NP2RISE,0.0000834289,0.0000205184,4.52166E-13,0.343546828,0.00000250839,0.0000045476
NP2SALV,0.009891397,0.000440493,0.0000000218655,0.144765256,0.000372717,0.00287944
NP2SPCH,0.004289727,0.0000511022,4.97011E-10,0.211015033,0.0000243173,0.0000502453
NP2SWAL,0.019335856,0.000514133,0.00000189989,0.200291424,0.001532528,0.006014059
NP2TRMR,0.013413302,0.079238228,0.150259786,0.266213508,0.187502148,0.356782799
NP2TURN,0.0000000796839,0.0000121184,5.70019E-16,0.147258914,0.000000524758,0.0000000114338
NP2WALK,0.001158483,0.0000645105,2.22015E-11,0.156156196,0.0000015647,0.00000167256
NP3BRADY,0.056138839,0.00345982,0.000134508,0.106804924,0.011309042,0.09700692
NP3FACXP,0.362255194,0.5,0.003903914,0.347896261,0.007621455,0.003094976
NP3FRZGT,0.159187642,0.143016798,0.008023996,0.353169062,0.044055225,0.072391279
NP3FTAPL,0.002554049,0.000769182,0.00000106096,0.159187642,0.004731567,0.031974212
NP3FTAPR,0.014974046,0.010612278,0.005039581,0.5,0.287324054,0.270333774
NP3GAIT,0.006427864,0.000783139,1.84706E-10,0.249053335,0.00000659932,0.0000235191
NP3HMOVL,0.0000520694,0.000418515,0.000000213587,0.374773248,0.039206324,0.012323941
NP3HMOVR,0.007989994,0.005801616,0.000677278,0.467016186,0.170146214,0.125345214
NP3KTRML,0.284973844,0.117790686,0.007724361,0.200291424,0.012844979,0.067961988
NP3KTRMR,0.027824111,0.031620215,0.003763679,0.411813466,0.119550138,0.153047668
NP3LGAGL,0.008996158,0.001121044,6.05324E-11,0.245355074,0.000000988588,0.00000510824
NP3LGAGR,0.390178448,0.070567199,0.00000604383,0.040770931,0.0000030523,0.000621701
NP3POSTR,0.000135904,0.0000511022,9.79851E-10,0.268593027,0.000557182,0.002299598
NP3PRSPL,0.026000287,0.013836237,0.0000536494,0.337326476,0.007159702,0.013572631
NP3PRSPR,0.00840871,0.008590579,0.004913672,0.462973934,0.28242277,0.308619523
NP3PSTBL,0.159187642,0.017233963,0.000372799,0.090143251,0.001403581,0.010886114
NP3PTRML,0.031377089,0.149859119,0.5,0.216079534,0.053094154,0.16214483
NP3PTRMR,0.388268501,0.350602333,0.146794459,0.459274719,0.185829382,0.207706961
NP3RIGLL,0.0000663656,0.000000142083,0.00000000154105,0.114530854,0.003876971,0.064238218
NP3RIGLU,0.000287133,0.009649116,0.000146492,0.09188444,0.234684925,0.024998721
NP3RIGN,0.014233492,0.0000466282,0.0000000855371,0.026275872,0.000645373,0.044796886
NP3RIGRL,0.020392798,0.054227471,0.00000616993,0.400585819,0.006616867,0.003248653
NP3RIGRU,0.007135831,0.01813828,0.0000834154,0.362255194,0.121878233,0.066085506
NP3RISNG,0.001199433,0.0000117532,0.0000000116754,0.109553333,0.004269903,0.047167057
NP3RTALJ,0.216987032,0.28242277,0.054381931,0.097144199,0.154135051,0.002893381
NP3RTALL,0.29704136,0.211940208,0.083144248,0.373191782,0.154135051,0.254497696
NP3RTALU,0.000520072,0.015416056,0.008335632,0.194920444,0.407960541,0.287639203
NP3RTARL,0.206137776,0.044796886,0.17344933,0.104142041,0.348510296,0.266395641
NP3RTARU,0.002659806,0.089972306,0.29704136,0.12672093,0.029534891,0.194418282
NP3RTCON,0.136241814,0.163311527,0.478602614,0.017256919,0.143446177,0.171759299
NP3SPCH,0.000666412,0.000434172,8.67543E-10,0.364928915,0.001061178,0.001684649
NP3TTAPL,0.030384717,0.004318471,1.36673E-12,0.340495402,0.00000024956,0.0000000762071
NP3TTAPR,0.018544887,0.001589479,0.00000024956,0.128464159,0.000440087,0.004731567
