,F-statistic,p-value
Shannon_Entropy,3.289974074270302,0.005964296213435725
lbp_energy,2.847547807725989,0.014681946653679775
gabor_energy,7.441404863351381,7.462290406317671e-07
ConvexArea,1.0719374152926668,0.3743644633754551
energy,4.707035829390749,0.00029931076080237217
Kurtosis,3.5459919642168374,0.003510073776155705
brightness,5.233854356811699,9.579847325921344e-05
correlation,0.8635296805156938,0.5050770102714952
Skewness,4.132351469157783,0.0010226183759365587
Major axis length,2.086410312114028,0.0649195176995429
lbp_entropy,2.5988061677478123,0.024110621728548384
Standard Deviation,5.144457789884879,0.00011631455491615491
homogeneity,2.7449221713510403,0.018034641410608218
Solidity,0.7647488363522402,0.5753163967193011
Mean,5.233854356811699,9.579847325921344e-05
FilledArea,1.3427925944933312,0.24390287683123996
dissimilarity,3.4428286835115025,0.004349041919257498
EquivDiameter,2.366983963631017,0.03796376784055013
Minor axis length,0.6481353230976926,0.6630017674546976
gabor_entropy,7.18354658325444,1.3216392770552406e-06
Area,1.3383732721727537,0.245685832882512
contrast,4.367601903772082,0.0006196909960218735
Circularity,1.4274403542219682,0.2117964451061051
Extent,1.8308787037858416,0.10423794814132806
NP1ANXS,14.669156006521135,7.526708500645183e-14
NP1PAIN,33.28530686215262,3.0126529994224513e-31
NP1SLPD,29.647089805792547,6.045070778769662e-28
NP2DRES,107.60484713593252,3.2613257568779394e-89
NP2EAT,71.61071543753322,3.3382258324602686e-63
NP2FREZ,67.11653188831784,1.0520086023873055e-59
NP2HOBB,88.40272035940106,9.255994941218859e-76
NP2HYGN,45.09639091787987,1.2415124874630826e-41
NP2RISE,82.65157075693607,1.5101144707594768e-71
NP2SPCH,53.06548859619345,2.3315645149389343e-48
NP2TURN,61.34141275642113,4.061038011236665e-55
NP2WALK,62.24744848164835,7.62332377214614e-56
NP3BRADY,77.30348447526424,1.505378694918024e-67
NP3FACXP,55.25893066827593,3.5833778595543494e-50
NP3FTAPL,52.21135204610192,1.1971481537718425e-47
NP3FTAPR,43.85774227813201,1.4432708974958618e-40
NP3HMOVL,58.52892342846188,7.594869705824425e-53
NP3HMOVR,46.02725363585619,1.980916024558805e-42
NP3LGAGL,61.40726900443095,3.5953667265589694e-55
NP3LGAGR,65.21947950829178,3.290108439485624e-58
NP3POSTR,64.28164621882495,1.8217497599110146e-57
NP3PRSPL,33.705940565061574,1.2598265436931535e-31
NP3PTRML,9.174539929041337,1.576277467464496e-08
NP3RIGN,53.80495035251139,5.682282916945808e-49
NP3RIGRU,33.46490357240749,2.075881745446078e-31
NP3RISNG,76.91586753334391,2.955185693816265e-67
NP3RTCON,4.416658150386179,0.0005580191917016759
NP3SPCH,50.47527127196217,3.3877530454823593e-46
NP3TTAPL,50.86687427579917,1.5905362196438734e-46
NP3TTAPR,60.35669826867504,2.518734348868665e-54
