,chi2,p-value,dof
NP1ANXS,86.45042961305748,4.5341144134052346e-12,15.0
NP1PAIN,178.50025490127797,1.9074423431837318e-27,20.0
NP1SLPD,192.4037643017927,3.557124079214874e-30,20.0
NP2DRES,511.34948618812075,2.2430899937206955e-99,15.0
NP2EAT,404.8813595439626,6.51678035107555e-77,15.0
NP2FREZ,330.2399202256353,5.1752168095336086e-58,20.0
NP2HOBB,379.68771612708434,3.300962571686875e-68,20.0
NP2HYGN,240.4822133297375,9.421984780844689e-40,20.0
NP2RISE,411.4742336798114,8.489511011137615e-75,20.0
NP2SPCH,270.1605269044866,8.577309792025194e-49,15.0
NP2TURN,394.38934385016773,1.0437771382401896e-74,15.0
NP2WALK,357.1877354053538,1.4690168744956033e-63,20.0
NP3BRADY,371.57390026187176,1.572417909889018e-66,20.0
NP3FACXP,316.76704084618893,3.0045024649022615e-55,20.0
NP3FTAPL,259.6574593863959,1.2811822896675139e-43,20.0
NP3FTAPR,202.24494817035395,4.045442123033314e-32,20.0
NP3HMOVL,294.4088516064002,1.1185421256333603e-50,20.0
NP3HMOVR,207.7895593211048,3.217942096190496e-33,20.0
NP3LGAGL,390.24809993564946,2.148487026119074e-70,20.0
NP3LGAGR,337.99473832812276,1.3187060396812307e-59,20.0
NP3POSTR,290.0884989635961,6.389553231616795e-53,15.0
NP3PRSPL,185.66169878244645,7.538569836953379e-29,20.0
NP3PTRML,52.11044810162575,5.415847925836167e-06,15.0
NP3RIGN,315.078133016582,6.664338440789218e-55,20.0
NP3RIGRU,191.2372728531409,1.273428418588412e-32,15.0
NP3RISNG,354.151299936648,2.8449063563913267e-66,15.0
NP3RTCON,35.93837268709345,0.01563960884090691,20.0
NP3SPCH,423.260916748981,8.86475300287583e-81,15.0
NP3TTAPL,292.2581086506261,3.070623920679167e-50,20.0
NP3TTAPR,403.6707116223031,3.539463925729561e-73,20.0
