,H-statistic,p-value
Shannon_Entropy,11.78443718331714,0.03786389951632076
lbp_energy,10.895143660392053,0.05349907110500491
gabor_energy,39.55053813520036,1.8397766876318687e-07
ConvexArea,7.462174118375394,0.18847342815119003
energy,16.960781707330884,0.004574779244825756
Kurtosis,18.475305429094714,0.0024060812027259268
brightness,19.91797014690902,0.0012948071891722731
correlation,2.99153600342206,0.7012908150619213
Skewness,18.95991412980025,0.001955462782369903
Major axis length,12.639238687406236,0.027004539140015205
lbp_entropy,10.765785046798678,0.0562266983830013
Standard Deviation,19.916864040764285,0.0012954258077786988
homogeneity,9.22128609680427,0.10055671361497173
Solidity,2.1945243419479397,0.8216264992584965
Mean,19.91797014690902,0.0012948071891722731
FilledArea,8.404752537391031,0.13529467357653047
dissimilarity,8.571812753798937,0.12741103497041797
EquivDiameter,9.945099422093705,0.07680585929847619
Minor axis length,1.924706722604421,0.8594621547481283
gabor_entropy,22.994113122526514,0.0003384419180766441
Area,8.350043092291816,0.13797008408937195
contrast,8.628739142238029,0.1248207362211979
Circularity,15.076008468920358,0.010042455015317617
Extent,7.783072536475037,0.16860311928409757
NP1ANXS,56.98091137820064,5.1029763062622157e-11
NP1PAIN,133.07418049055883,5.29689928098457e-27
NP1SLPD,121.62378565155947,1.421493165993865e-24
NP2DRES,313.69339231132426,1.1378078407962803e-65
NP2EAT,235.57154219625266,6.836148804445415e-49
NP2FREZ,163.1331990071768,2.12652317688536e-33
NP2HOBB,276.1656275387592,1.3264116756826684e-57
NP2HYGN,178.45455467658945,1.144132514434368e-36
NP2RISE,245.611938835993,4.803213725816454e-51
NP2SPCH,178.57762651791685,1.0769504654297001e-36
NP2TURN,201.0969311722577,1.6548011823655092e-41
NP2WALK,194.6910009443433,3.88059778461889e-40
NP3BRADY,267.65062114384943,8.942026678181416e-56
NP3FACXP,205.46436591426988,1.924105988285085e-42
NP3FTAPL,197.42233134960202,1.0110700874158311e-40
NP3FTAPR,170.82196480954687,4.872149319877906e-35
NP3HMOVL,215.41408160782257,1.4262332836394856e-44
NP3HMOVR,179.42675116362105,7.093597518753304e-37
NP3LGAGL,189.53939894739256,4.9007906352681705e-39
NP3LGAGR,188.3265728450958,8.902053051041905e-39
NP3POSTR,242.88708945679815,1.8450882209420414e-50
NP3PRSPL,127.54690725827805,7.889309577631653e-26
NP3PTRML,41.23806108519765,8.399051770685541e-08
NP3RIGN,207.12860973577472,8.47320481376395e-43
NP3RIGRU,135.93634844350117,1.3066761381999315e-27
NP3RISNG,238.38053483045576,1.7080617229961496e-49
NP3RTCON,21.439272320318143,0.0006689762516312349
NP3SPCH,179.10408732874546,8.313283053186306e-37
NP3TTAPL,183.47035049301044,9.708877247443563e-38
NP3TTAPR,202.86600117426573,6.922240375340984e-42
