,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
DATSCAN_PUTAMEN_R_ANT,0.00027377105815050575,4.7311995492357365e-05,0.010420597764536358,0.007690518554397248,0.0001328165118339679,0.00027377105815050575,0.11539755887294667,3.323630104301967e-08,0.22166637129320724,4.77585529950355e-08,4.7311995492357365e-05,0.11539755887294667,7.860163213849433e-08,0.7877317975831577,1.1843907236798968e-07,0.010420597764536358,3.323630104301967e-08,7.860163213849433e-08,0.0005518755800823094,0.015323991940906367,0.007690518554397248,0.22166637129320724,0.7877317975831577,0.0005518755800823094,0.0005229423314169428,0.0001328165118339679,4.77585529950355e-08,1.1843907236798968e-07,0.015323991940906367,0.0005229423314169428
Shannon_Entropy,0.6106155658316941,0.0276881314193773,0.2601152793160663,0.019100625949789094,0.327057848374837,0.6106155658316941,0.12061897217837,0.10425691361157206,0.038629301162069384,0.537237504237398,0.0276881314193773,0.12061897217837,0.0028633572636676363,0.7509724238494551,0.439591279321914,0.2601152793160663,0.10425691361157206,0.0028633572636676363,0.00011109108018652638,0.028279881703183973,0.019100625949789094,0.038629301162069384,0.7509724238494551,0.00011109108018652638,0.09572432584483676,0.327057848374837,0.537237504237398,0.439591279321914,0.028279881703183973,0.09572432584483676
NP3RIGN,8.504088914038816e-05,0.0001457001970031976,8.809067880347485e-21,1.2189636824285875e-06,2.8028564731660245e-10,8.504088914038816e-05,0.3124297388787738,4.431756189696402e-31,0.0023566169022352793,7.491270658724679e-16,0.0001457001970031976,0.3124297388787738,7.303230395726383e-23,0.03373770462228447,6.327228625722841e-15,8.809067880347485e-21,4.431756189696402e-31,7.303230395726383e-23,1.3115991530028711e-20,0.0553221089562059,1.2189636824285875e-06,0.0023566169022352793,0.03373770462228447,1.3115991530028711e-20,4.772997547132636e-16,2.8028564731660245e-10,7.491270658724679e-16,6.327228625722841e-15,0.0553221089562059,4.772997547132636e-16
NP1URIN,9.485091036785959e-05,2.568643793856224e-09,1.4977687698883683e-06,6.784499607047561e-13,0.0026389492447998638,9.485091036785959e-05,0.008082763246836003,3.1880941077474515e-14,5.048868372071237e-06,3.908921183199976e-06,2.568643793856224e-09,0.008082763246836003,7.916056288533575e-19,0.0164307242625637,8.247648121852872e-09,1.4977687698883683e-06,3.1880941077474515e-14,7.916056288533575e-19,8.087667856687257e-22,0.5449624717087203,6.784499607047561e-13,5.048868372071237e-06,0.0164307242625637,8.087667856687257e-22,5.963152210426432e-12,0.0026389492447998638,3.908921183199976e-06,8.247648121852872e-09,0.5449624717087203,5.963152210426432e-12
DATSCAN_PUTAMEN_L_ANT,5.128913387706443e-06,0.00023516277973165204,0.0013771237938230985,2.422433058507784e-05,0.024419068533909686,5.128913387706443e-06,0.454062220403079,1.6311821304865513e-11,0.005680511085200542,3.2683109100507967e-07,0.00023516277973165204,0.454062220403079,4.2010704475793974e-07,0.07864249446218147,3.5089474303407695e-05,0.0013771237938230985,1.6311821304865513e-11,4.2010704475793974e-07,8.270551170899473e-07,0.6678514213471656,2.422433058507784e-05,0.005680511085200542,0.07864249446218147,8.270551170899473e-07,3.911224641903109e-06,0.024419068533909686,3.2683109100507967e-07,3.5089474303407695e-05,0.6678514213471656,3.911224641903109e-06
NP3RISNG,3.312847922912526e-13,1.9201680796404328e-14,2.4613991650631185e-06,1.0829174464817459e-37,0.007306223340041986,3.312847922912526e-13,0.13889459228423018,7.10532417487454e-26,9.60331399745616e-10,2.0002091519700792e-07,1.9201680796404328e-14,0.13889459228423018,1.0688758746786809e-30,3.0219296463029913e-05,6.477123450201364e-09,2.4613991650631185e-06,7.10532417487454e-26,1.0688758746786809e-30,1.1049329118223622e-70,0.21492794640797283,1.0829174464817459e-37,9.60331399745616e-10,3.0219296463029913e-05,1.1049329118223622e-70,4.459797114563153e-19,0.007306223340041986,2.0002091519700792e-07,6.477123450201364e-09,0.21492794640797283,4.459797114563153e-19
NP3LGAGL,0.00013403846652867721,5.6172510598472164e-14,1.228707608706611e-09,7.398270385916342e-20,2.1537583040656655e-07,0.00013403846652867721,6.235884598508358e-05,5.6490343539298416e-18,4.544918900453294e-10,1.3388323040057325e-10,5.6172510598472164e-14,6.235884598508358e-05,7.179659956430306e-32,0.0003854372602679597,4.740706324490151e-19,1.228707608706611e-09,5.6490343539298416e-18,7.179659956430306e-32,5.225070581853625e-36,0.006894833900512666,7.398270385916342e-20,4.544918900453294e-10,0.0003854372602679597,5.225070581853625e-36,1.3186793312692416e-20,2.1537583040656655e-07,1.3388323040057325e-10,4.740706324490151e-19,0.006894833900512666,1.3186793312692416e-20
NP3PRSPL,0.00033273910409976296,1.1367070665992326e-08,6.64427471626332e-08,2.8176869150293267e-07,3.312350814832238e-08,0.00033273910409976296,0.012191628842889119,7.42896441652131e-14,0.004449125702928291,3.172679755002125e-10,1.1367070665992326e-08,0.012191628842889119,5.413919733500054e-18,0.27966842766122735,1.7324308181306697e-13,6.64427471626332e-08,7.42896441652131e-14,5.413919733500054e-18,2.6001721519967225e-13,0.0031098791482661063,2.8176869150293267e-07,0.004449125702928291,0.27966842766122735,2.6001721519967225e-13,3.3207133132050784e-13,3.312350814832238e-08,3.172679755002125e-10,1.7324308181306697e-13,0.0031098791482661063,3.3207133132050784e-13
NP3TTAPR,2.6175191093120326e-10,2.2157748765618648e-10,5.523455782487894e-10,1.4012205143524515e-16,2.4194905618867442e-06,2.6175191093120326e-10,0.06955711283734795,3.3377744274789794e-28,1.7959174691196468e-07,6.7964308385076895e-15,2.2157748765618648e-10,0.06955711283734795,1.6834310392987723e-23,0.00034262802620980347,4.83372268299091e-15,5.523455782487894e-10,3.3377744274789794e-28,1.6834310392987723e-23,8.863798204079703e-28,0.10322904488745809,1.4012205143524515e-16,1.7959174691196468e-07,0.00034262802620980347,8.863798204079703e-28,3.817703546469975e-19,2.4194905618867442e-06,6.7964308385076895e-15,4.83372268299091e-15,0.10322904488745809,3.817703546469975e-19
NP1PAIN,1.293821036368279e-05,1.1180155992233171e-07,1.0601341338556603e-06,2.049067552929381e-09,3.427295199253639e-05,1.293821036368279e-05,0.07393068310701706,1.3502412311015362e-15,0.0007908607832823851,9.73065653922407e-09,1.1180155992233171e-07,0.07393068310701706,1.1134137870026237e-16,0.037805515101191206,4.372752727002341e-11,1.0601341338556603e-06,1.3502412311015362e-15,1.1134137870026237e-16,5.981130107227526e-17,0.06907509591348128,2.049067552929381e-09,0.0007908607832823851,0.037805515101191206,5.981130107227526e-17,2.964823317613756e-14,3.427295199253639e-05,9.73065653922407e-09,4.372752727002341e-11,0.06907509591348128,2.964823317613756e-14
