,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP3RIGN,8.504088914038816e-05,0.0001457001970031976,8.809067880347485e-21,1.2189636824285875e-06,2.8028564731660245e-10,8.504088914038816e-05,0.3124297388787738,4.431756189696402e-31,0.0023566169022352793,7.491270658724679e-16,0.0001457001970031976,0.3124297388787738,7.303230395726383e-23,0.03373770462228447,6.327228625722841e-15,8.809067880347485e-21,4.431756189696402e-31,7.303230395726383e-23,1.3115991530028711e-20,0.0553221089562059,1.2189636824285875e-06,0.0023566169022352793,0.03373770462228447,1.3115991530028711e-20,4.772997547132636e-16,2.8028564731660245e-10,7.491270658724679e-16,6.327228625722841e-15,0.0553221089562059,4.772997547132636e-16
NP1URIN,9.485091036785959e-05,2.568643793856224e-09,1.4977687698883683e-06,6.784499607047561e-13,0.0026389492447998638,9.485091036785959e-05,0.008082763246836003,3.1880941077474515e-14,5.048868372071237e-06,3.908921183199976e-06,2.568643793856224e-09,0.008082763246836003,7.916056288533575e-19,0.0164307242625637,8.247648121852872e-09,1.4977687698883683e-06,3.1880941077474515e-14,7.916056288533575e-19,8.087667856687257e-22,0.5449624717087203,6.784499607047561e-13,5.048868372071237e-06,0.0164307242625637,8.087667856687257e-22,5.963152210426432e-12,0.0026389492447998638,3.908921183199976e-06,8.247648121852872e-09,0.5449624717087203,5.963152210426432e-12
homogeneity,0.6791811069697847,0.04549031675118571,0.23582281551378848,0.0481278436025321,0.27912657634749716,0.6791811069697847,0.15463471793397818,0.11892627717287574,0.08161000523641243,0.43983913528095087,0.04549031675118571,0.15463471793397818,0.005858707433915349,0.8362561822002534,0.542300704070856,0.23582281551378848,0.11892627717287574,0.005858707433915349,0.0007832649721201609,0.01787391055630403,0.0481278436025321,0.08161000523641243,0.8362561822002534,0.0007832649721201609,0.22667282209536507,0.27912657634749716,0.43983913528095087,0.542300704070856,0.01787391055630403,0.22667282209536507
NP3RISNG,3.312847922912526e-13,1.9201680796404328e-14,2.4613991650631185e-06,1.0829174464817459e-37,0.007306223340041986,3.312847922912526e-13,0.13889459228423018,7.10532417487454e-26,9.60331399745616e-10,2.0002091519700792e-07,1.9201680796404328e-14,0.13889459228423018,1.0688758746786809e-30,3.0219296463029913e-05,6.477123450201364e-09,2.4613991650631185e-06,7.10532417487454e-26,1.0688758746786809e-30,1.1049329118223622e-70,0.21492794640797283,1.0829174464817459e-37,9.60331399745616e-10,3.0219296463029913e-05,1.1049329118223622e-70,4.459797114563153e-19,0.007306223340041986,2.0002091519700792e-07,6.477123450201364e-09,0.21492794640797283,4.459797114563153e-19
NP3RIGRL,7.687822846630573e-08,7.353459917145173e-11,3.626337305611446e-08,3.730701460667627e-09,0.0004985326709745342,7.687822846630573e-08,0.02964893793890156,1.0672474672376192e-21,0.003260737998439828,6.820408965855653e-09,7.353459917145173e-11,0.02964893793890156,5.691695847925901e-25,0.10548258163166849,2.2484415423375625e-13,3.626337305611446e-08,1.0672474672376192e-21,5.691695847925901e-25,1.4811773154512452e-18,0.43337905354817075,3.730701460667627e-09,0.003260737998439828,0.10548258163166849,1.4811773154512452e-18,1.4169888960612459e-11,0.0004985326709745342,6.820408965855653e-09,2.2484415423375625e-13,0.43337905354817075,1.4169888960612459e-11
NP3LGAGL,0.00013403846652867721,5.6172510598472164e-14,1.228707608706611e-09,7.398270385916342e-20,2.1537583040656655e-07,0.00013403846652867721,6.235884598508358e-05,5.6490343539298416e-18,4.544918900453294e-10,1.3388323040057325e-10,5.6172510598472164e-14,6.235884598508358e-05,7.179659956430306e-32,0.0003854372602679597,4.740706324490151e-19,1.228707608706611e-09,5.6490343539298416e-18,7.179659956430306e-32,5.225070581853625e-36,0.006894833900512666,7.398270385916342e-20,4.544918900453294e-10,0.0003854372602679597,5.225070581853625e-36,1.3186793312692416e-20,2.1537583040656655e-07,1.3388323040057325e-10,4.740706324490151e-19,0.006894833900512666,1.3186793312692416e-20
NP3TTAPR,2.6175191093120326e-10,2.2157748765618648e-10,5.523455782487894e-10,1.4012205143524515e-16,2.4194905618867442e-06,2.6175191093120326e-10,0.06955711283734795,3.3377744274789794e-28,1.7959174691196468e-07,6.7964308385076895e-15,2.2157748765618648e-10,0.06955711283734795,1.6834310392987723e-23,0.00034262802620980347,4.83372268299091e-15,5.523455782487894e-10,3.3377744274789794e-28,1.6834310392987723e-23,8.863798204079703e-28,0.10322904488745809,1.4012205143524515e-16,1.7959174691196468e-07,0.00034262802620980347,8.863798204079703e-28,3.817703546469975e-19,2.4194905618867442e-06,6.7964308385076895e-15,4.83372268299091e-15,0.10322904488745809,3.817703546469975e-19
NP1PAIN,1.293821036368279e-05,1.1180155992233171e-07,1.0601341338556603e-06,2.049067552929381e-09,3.427295199253639e-05,1.293821036368279e-05,0.07393068310701706,1.3502412311015362e-15,0.0007908607832823851,9.73065653922407e-09,1.1180155992233171e-07,0.07393068310701706,1.1134137870026237e-16,0.037805515101191206,4.372752727002341e-11,1.0601341338556603e-06,1.3502412311015362e-15,1.1134137870026237e-16,5.981130107227526e-17,0.06907509591348128,2.049067552929381e-09,0.0007908607832823851,0.037805515101191206,5.981130107227526e-17,2.964823317613756e-14,3.427295199253639e-05,9.73065653922407e-09,4.372752727002341e-11,0.06907509591348128,2.964823317613756e-14
NP2HWRT,0.00010844497042526934,3.7034512711673765e-11,2.0161345156953337e-10,8.923885956314153e-06,1.8207665510443472e-06,0.00010844497042526934,0.00014703424301115814,1.8283755214409974e-21,0.004449976779178667,4.269464598539166e-12,3.7034512711673765e-11,0.00014703424301115814,1.2786700332068364e-28,0.8027860366629975,7.784961321562421e-16,2.0161345156953337e-10,1.8283755214409974e-21,1.2786700332068364e-28,9.051119214817779e-16,0.04286054900160527,8.923885956314153e-06,0.004449976779178667,0.8027860366629975,9.051119214817779e-16,1.5310278592241382e-13,1.8207665510443472e-06,4.269464598539166e-12,7.784961321562421e-16,0.04286054900160527,1.5310278592241382e-13
NP3FTAPR,1.4952146220070604e-09,3.7064001888550926e-08,1.0542818529864326e-09,1.2063469807680636e-08,0.00011933517514164874,1.4952146220070604e-09,0.28566791112520423,1.917054232491612e-25,0.006137721073345775,3.9223072855276704e-11,3.7064001888550926e-08,0.28566791112520423,2.0748994945026134e-19,0.038073057334972064,2.096803072442517e-11,1.0542818529864326e-09,1.917054232491612e-25,2.0748994945026134e-19,1.9192699166016664e-16,0.5101121092555992,1.2063469807680636e-08,0.006137721073345775,0.038073057334972064,1.9192699166016664e-16,8.699855676266553e-13,0.00011933517514164874,3.9223072855276704e-11,2.096803072442517e-11,0.5101121092555992,8.699855676266553e-13
NP3RTCON,0.7462659194596148,0.6715975558585002,0.003734842639582103,0.34810175972376345,9.068881361956913e-05,0.7462659194596148,0.574397737553203,0.048520479712814785,0.46034271699240203,0.0008003655406124764,0.6715975558585002,0.574397737553203,0.04610172036103731,0.34087783130229776,0.0008775951233946432,0.003734842639582103,0.048520479712814785,0.04610172036103731,0.9626423914943283,0.02165569389643664,0.34810175972376345,0.46034271699240203,0.34087783130229776,0.9626423914943283,0.13234011393708925,9.068881361956913e-05,0.0008003655406124764,0.0008775951233946432,0.02165569389643664,0.13234011393708925
NP2SPCH,4.528388574586934e-07,7.116264381113301e-15,1.5552995974445008e-07,6.390720897466819e-14,8.282929933491485e-06,4.528388574586934e-07,0.0005067890490238725,2.9108349479702743e-20,1.18821841310508e-05,1.212057170753172e-10,7.116264381113301e-15,0.0005067890490238725,1.0607056943798954e-30,0.0516947892710912,9.770653610101469e-17,1.5552995974445008e-07,2.9108349479702743e-20,1.0607056943798954e-30,3.009090386380684e-27,0.01887430994618045,6.390720897466819e-14,1.18821841310508e-05,0.0516947892710912,3.009090386380684e-27,3.749327988505216e-18,8.282929933491485e-06,1.212057170753172e-10,9.770653610101469e-17,0.01887430994618045,3.749327988505216e-18
NP2SWAL,0.0014706320160155749,1.3428498703472752e-07,7.072111226916619e-06,7.4171398890321e-09,0.004899801778179545,0.0014706320160155749,0.014732388377346615,1.7250568366844525e-12,0.0004974483124488795,4.315596687423442e-05,1.3428498703472752e-07,0.014732388377346615,6.803831914957234e-18,0.1796174846723279,8.79544460208295e-07,7.072111226916619e-06,1.7250568366844525e-12,6.803831914957234e-18,2.4273757545317253e-20,0.3027441004357203,7.4171398890321e-09,0.0004974483124488795,0.1796174846723279,2.4273757545317253e-20,1.3422387182865222e-08,0.004899801778179545,4.315596687423442e-05,8.79544460208295e-07,0.3027441004357203,1.3422387182865222e-08
