,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP2DRES,1.8016153120850482e-11,2.8882829523751027e-24,9.850814215634932e-15,2.275736709597729e-18,9.670942909171984e-12,1.8016153120850482e-11,9.576808993406636e-08,3.078576090824576e-39,1.1986866685160301e-08,7.241011806458401e-24,2.8882829523751027e-24,9.576808993406636e-08,5.22150044596213e-55,0.008919092190189175,3.4661741364372853e-38,9.850814215634932e-15,3.078576090824576e-39,5.22150044596213e-55,7.215406016691725e-39,0.00010631300118118134,2.275736709597729e-18,1.1986866685160301e-08,0.008919092190189175,7.215406016691725e-39,1.5327609689369379e-29,9.670942909171984e-12,7.241011806458401e-24,3.4661741364372853e-38,0.00010631300118118134,1.5327609689369379e-29
NP3BRADY,1.2210042614030987e-07,4.353913516297232e-11,2.0518671707506057e-24,3.0953658465675965e-07,2.3242617696140927e-16,1.2210042614030987e-07,0.006584269473770236,1.9134574418719694e-36,0.00643396191276741,1.5704033179656372e-22,4.353913516297232e-11,0.006584269473770236,2.2242806970185125e-31,0.37705828763694105,8.431159248624968e-21,2.0518671707506057e-24,1.9134574418719694e-36,2.2242806970185125e-31,1.0177840364510721e-17,0.003112024904912479,3.0953658465675965e-07,0.00643396191276741,0.37705828763694105,1.0177840364510721e-17,3.845231379937935e-14,2.3242617696140927e-16,1.5704033179656372e-22,8.431159248624968e-21,0.003112024904912479,3.845231379937935e-14
NP3POSTR,5.5252874385283204e-08,1.6078537521332925e-10,1.3909221006686302e-15,9.26897854812904e-09,2.382223467396695e-12,5.5252874385283204e-08,0.017334541700327402,7.147624146539106e-31,0.0014430780339732647,3.020171836560626e-20,1.6078537521332925e-10,0.017334541700327402,7.029968751390015e-29,0.1201764099489212,1.5416914243821696e-22,1.3909221006686302e-15,7.147624146539106e-31,7.029968751390015e-29,4.2786458159478736e-20,0.0007732574064461444,9.26897854812904e-09,0.0014430780339732647,0.1201764099489212,4.2786458159478736e-20,1.082523321756985e-19,2.382223467396695e-12,3.020171836560626e-20,1.5416914243821696e-22,0.0007732574064461444,1.082523321756985e-19
NP3TTAPR,2.6175191093120326e-10,2.2157748765618648e-10,5.523455782487894e-10,1.4012205143524515e-16,2.4194905618867442e-06,2.6175191093120326e-10,0.06955711283734795,3.3377744274789794e-28,1.7959174691196468e-07,6.7964308385076895e-15,2.2157748765618648e-10,0.06955711283734795,1.6834310392987723e-23,0.00034262802620980347,4.83372268299091e-15,5.523455782487894e-10,3.3377744274789794e-28,1.6834310392987723e-23,8.863798204079703e-28,0.10322904488745809,1.4012205143524515e-16,1.7959174691196468e-07,0.00034262802620980347,8.863798204079703e-28,3.817703546469975e-19,2.4194905618867442e-06,6.7964308385076895e-15,4.83372268299091e-15,0.10322904488745809,3.817703546469975e-19
NP2EAT,5.869059083085542e-10,4.444018632255907e-18,5.512885103780679e-11,1.297106289398349e-15,4.449586142107824e-08,5.869059083085542e-10,0.000726572000240748,1.3473368496406744e-28,2.3104377600397437e-05,2.79155462605209e-14,4.444018632255907e-18,0.000726572000240748,1.805702957011669e-40,0.03145437002482594,3.246046726945899e-24,5.512885103780679e-11,1.3473368496406744e-28,1.805702957011669e-40,2.880208952975373e-31,0.004046331156581498,1.297106289398349e-15,2.3104377600397437e-05,0.03145437002482594,2.880208952975373e-31,2.956708332935433e-19,4.449586142107824e-08,2.79155462605209e-14,3.246046726945899e-24,0.004046331156581498,2.956708332935433e-19
NP3RIGN,8.504088914038816e-05,0.0001457001970031976,8.809067880347485e-21,1.2189636824285875e-06,2.8028564731660245e-10,8.504088914038816e-05,0.3124297388787738,4.431756189696402e-31,0.0023566169022352793,7.491270658724679e-16,0.0001457001970031976,0.3124297388787738,7.303230395726383e-23,0.03373770462228447,6.327228625722841e-15,8.809067880347485e-21,4.431756189696402e-31,7.303230395726383e-23,1.3115991530028711e-20,0.0553221089562059,1.2189636824285875e-06,0.0023566169022352793,0.03373770462228447,1.3115991530028711e-20,4.772997547132636e-16,2.8028564731660245e-10,7.491270658724679e-16,6.327228625722841e-15,0.0553221089562059,4.772997547132636e-16
NP3TTAPL,3.725003580694215e-06,4.6857728687425715e-07,2.3962854859344633e-09,4.029455733856343e-12,2.609320284404996e-10,3.725003580694215e-06,0.116896651883769,8.281438179337206e-22,5.641396448784615e-06,3.3458481408276616e-16,4.6857728687425715e-07,0.116896651883769,1.7440987233541735e-21,0.00011992047326890935,4.51045520423304e-21,2.3962854859344633e-09,8.281438179337206e-22,1.7440987233541735e-21,7.306238962747196e-26,2.0160355783924803e-05,4.029455733856343e-12,5.641396448784615e-06,0.00011992047326890935,7.306238962747196e-26,1.3247654833900814e-23,2.609320284404996e-10,3.3458481408276616e-16,4.51045520423304e-21,2.0160355783924803e-05,1.3247654833900814e-23
NP2RISE,4.212437962601557e-13,1.5135636836479092e-25,2.5939690977659453e-06,2.3097139716160434e-21,6.733825643015371e-08,4.212437962601557e-13,9.71909472437145e-06,2.1502169623539354e-26,1.597235618531971e-07,3.2310475245626417e-16,1.5135636836479092e-25,9.71909472437145e-06,4.1480881102677683e-41,0.01122394342624313,2.485040216560362e-27,2.5939690977659453e-06,2.1502169623539354e-26,4.1480881102677683e-41,7.738486356855632e-32,0.00046025501364877836,2.3097139716160434e-21,1.597235618531971e-07,0.01122394342624313,7.738486356855632e-32,3.2064989918924975e-20,6.733825643015371e-08,3.2310475245626417e-16,2.485040216560362e-27,0.00046025501364877836,3.2064989918924975e-20
NP2HOBB,5.672645177513652e-12,6.158971767059597e-22,2.6794091638103227e-11,4.519887048586914e-22,5.804704327121952e-09,5.672645177513652e-12,8.735376786123185e-05,9.52205268350283e-32,7.116783658243374e-08,2.2156787122506493e-16,6.158971767059597e-22,8.735376786123185e-05,3.0129009767623486e-42,0.010808828420269707,2.7448934501853975e-22,2.6794091638103227e-11,9.52205268350283e-32,3.0129009767623486e-42,5.209003396446961e-40,0.0018143902309139175,4.519887048586914e-22,7.116783658243374e-08,0.010808828420269707,5.209003396446961e-40,9.49335080922271e-26,5.804704327121952e-09,2.2156787122506493e-16,2.7448934501853975e-22,0.0018143902309139175,9.49335080922271e-26
NP2TURN,6.972519467748002e-13,8.027492045634636e-20,0.014355199667060059,2.2318543878445085e-19,3.5030636619518403e-06,6.972519467748002e-13,0.00022053144038344729,4.634112342322905e-19,1.6542628734443787e-07,2.868459216168845e-16,8.027492045634636e-20,0.00022053144038344729,1.603010316256164e-25,0.014854514815681005,5.245076879132926e-21,0.014355199667060059,4.634112342322905e-19,1.603010316256164e-25,2.9883917530248385e-23,0.00031323414439500096,2.2318543878445085e-19,1.6542628734443787e-07,0.014854514815681005,2.9883917530248385e-23,2.1834365499395232e-17,3.5030636619518403e-06,2.868459216168845e-16,5.245076879132926e-21,0.00031323414439500096,2.1834365499395232e-17
