,V1_V2,V1_V3,V1_V4,V2_V3,V2_V4,V3_V4
NP3RIGN,0.11021567599252242,0.005580337487737635,0.0001086034303055439,0.20963756221304564,0.017387288447214922,0.2748899948512133
NP2HOBB,0.0308327513324785,0.007513230581923524,5.8868309686234354e-08,0.6288525162162715,0.0009297439055879213,0.004048054461887821
NP2DRES,0.00396161938348705,0.001748112712994156,2.4557211458361245e-10,0.7748576851671135,0.00018490689637306744,0.0005774163896397626
NP3BRADY,0.24399280691264677,0.040007766536100275,0.0025949585523568383,0.38816655148144963,0.07919380505761606,0.3853639051050256
NP3POSTR,0.019759486999276068,0.006926669122015904,1.4119862968036464e-05,0.7107783856859626,0.032703838642273615,0.07471146080558687
Circularity,0.9522139700278411,0.13071343858497275,0.023384079239967923,0.14246894971486526,0.02590127150748202,0.4246002071604842
Solidity,0.8412204379535412,0.35762041234424014,0.18467839027191826,0.4865053262642073,0.26635658650121347,0.634312835754401
NP3TTAPL,0.20150105350465197,0.10852587813782918,6.293130917020184e-07,0.7869844958755114,0.0001910594229055924,0.00030948538186339894
NP2EAT,0.004955461101645545,0.0007176552259301928,1.3915586847556458e-09,0.4564532502050992,0.0005185028557735584,0.008728140015220393
homogeneity,0.5007804660597988,0.4098977616241144,0.10102915885688639,0.821054353033126,0.22433685437959522,0.31472529551987605
Extent,0.6530664882980028,0.20343253239339573,0.7550979840145209,0.4501279763948117,0.8990648297195193,0.3780448470053238
lbp_energy,0.20974424466613217,0.08440625733216249,0.033754781157169025,0.5303958591127163,0.2112169965353684,0.4849936415283497
gabor_energy,0.11116774050626473,0.006186466869078338,0.003035322282530863,0.21463193030812533,0.044839534241299814,0.230991056451492
Shannon_Entropy,0.42055587391623384,0.316262858343744,0.07021595428947384,0.7662183661862865,0.19503432175054897,0.30757962008270967
Minor axis length,0.19696400796119196,0.08080287851919218,0.6511015219461964,0.6226493445490987,0.1409144045542149,0.06453796463597186
Major axis length,0.1223522585150756,0.21186028553016248,0.7985613992593452,0.7605740939218095,0.19761950916166315,0.3217870531287002
NP2RISE,0.007197225947984237,0.0023131842965966806,4.180898792798691e-09,0.7811264426356322,0.000765718331912361,0.0014951047325937967
NP3HMOVR,0.10572903489839548,0.11829169055431107,0.01673608004047319,0.9583311202771279,0.48318668831187195,0.4507543076018048
ConvexArea,0.05510005832900522,0.04103392651288345,0.3536596588015628,0.9239487391138166,0.3513255569376702,0.29931347841049655
correlation,0.3506168675705399,0.2586978234642002,0.9038469235149955,0.841679558641713,0.38842287470198256,0.3079261362563465
