,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP1ANXS,0.07076455549775378,6.784984702286952e-05,0.0024691847075934297,1.7590266867339485e-05,7.942172202382056e-05,0.07076455549775378,0.03647027046409757,5.1586478064106155e-05,0.006333645522389771,3.6333464662917626e-05,6.784984702286952e-05,0.03647027046409757,1.7494985660907943e-08,0.3064866404297531,7.609260929106183e-07,0.0024691847075934297,5.1586478064106155e-05,1.7494985660907943e-08,1.5737127881524527e-08,0.008920536900496904,1.7590266867339485e-05,0.006333645522389771,0.3064866404297531,1.5737127881524527e-08,5.4266816357879814e-09,7.942172202382056e-05,3.6333464662917626e-05,7.609260929106183e-07,0.008920536900496904,5.4266816357879814e-09
NP1PAIN,1.293821036368279e-05,1.1180155992233171e-07,1.0601341338556603e-06,2.049067552929381e-09,3.427295199253639e-05,1.293821036368279e-05,0.07393068310701706,1.3502412311015362e-15,0.0007908607832823851,9.73065653922407e-09,1.1180155992233171e-07,0.07393068310701706,1.1134137870026237e-16,0.037805515101191206,4.372752727002341e-11,1.0601341338556603e-06,1.3502412311015362e-15,1.1134137870026237e-16,5.981130107227526e-17,0.06907509591348128,2.049067552929381e-09,0.0007908607832823851,0.037805515101191206,5.981130107227526e-17,2.964823317613756e-14,3.427295199253639e-05,9.73065653922407e-09,4.372752727002341e-11,0.06907509591348128,2.964823317613756e-14
NP1SLPD,9.790398427725592e-05,0.0007647200675105892,4.964504945513347e-06,1.3908802314494248e-05,2.4948336599810115e-10,9.790398427725592e-05,0.5333650123581652,3.176259119519265e-14,0.008731504195598986,3.86977542960967e-16,0.0007647200675105892,0.5333650123581652,4.1202453645419394e-10,0.03700758335450605,5.173890749186916e-16,4.964504945513347e-06,3.176259119519265e-14,4.1202453645419394e-10,4.4320923812687963e-10,1.1659832388797412e-05,1.3908802314494248e-05,0.008731504195598986,0.03700758335450605,4.4320923812687963e-10,1.2672989874001685e-12,2.4948336599810115e-10,3.86977542960967e-16,5.173890749186916e-16,1.1659832388797412e-05,1.2672989874001685e-12
NP2DRES,1.8016153120850482e-11,2.8882829523751027e-24,9.850814215634932e-15,2.275736709597729e-18,9.670942909171984e-12,1.8016153120850482e-11,9.576808993406636e-08,3.078576090824576e-39,1.1986866685160301e-08,7.241011806458401e-24,2.8882829523751027e-24,9.576808993406636e-08,5.22150044596213e-55,0.008919092190189175,3.4661741364372853e-38,9.850814215634932e-15,3.078576090824576e-39,5.22150044596213e-55,7.215406016691725e-39,0.00010631300118118134,2.275736709597729e-18,1.1986866685160301e-08,0.008919092190189175,7.215406016691725e-39,1.5327609689369379e-29,9.670942909171984e-12,7.241011806458401e-24,3.4661741364372853e-38,0.00010631300118118134,1.5327609689369379e-29
NP2EAT,5.869059083085542e-10,4.444018632255907e-18,5.512885103780679e-11,1.297106289398349e-15,4.449586142107824e-08,5.869059083085542e-10,0.000726572000240748,1.3473368496406744e-28,2.3104377600397437e-05,2.79155462605209e-14,4.444018632255907e-18,0.000726572000240748,1.805702957011669e-40,0.03145437002482594,3.246046726945899e-24,5.512885103780679e-11,1.3473368496406744e-28,1.805702957011669e-40,2.880208952975373e-31,0.004046331156581498,1.297106289398349e-15,2.3104377600397437e-05,0.03145437002482594,2.880208952975373e-31,2.956708332935433e-19,4.449586142107824e-08,2.79155462605209e-14,3.246046726945899e-24,0.004046331156581498,2.956708332935433e-19
NP2HOBB,5.672645177513652e-12,6.158971767059597e-22,2.6794091638103227e-11,4.519887048586914e-22,5.804704327121952e-09,5.672645177513652e-12,8.735376786123185e-05,9.52205268350283e-32,7.116783658243374e-08,2.2156787122506493e-16,6.158971767059597e-22,8.735376786123185e-05,3.0129009767623486e-42,0.010808828420269707,2.7448934501853975e-22,2.6794091638103227e-11,9.52205268350283e-32,3.0129009767623486e-42,5.209003396446961e-40,0.0018143902309139175,4.519887048586914e-22,7.116783658243374e-08,0.010808828420269707,5.209003396446961e-40,9.49335080922271e-26,5.804704327121952e-09,2.2156787122506493e-16,2.7448934501853975e-22,0.0018143902309139175,9.49335080922271e-26
NP2RISE,4.212437962601557e-13,1.5135636836479092e-25,2.5939690977659453e-06,2.3097139716160434e-21,6.733825643015371e-08,4.212437962601557e-13,9.71909472437145e-06,2.1502169623539354e-26,1.597235618531971e-07,3.2310475245626417e-16,1.5135636836479092e-25,9.71909472437145e-06,4.1480881102677683e-41,0.01122394342624313,2.485040216560362e-27,2.5939690977659453e-06,2.1502169623539354e-26,4.1480881102677683e-41,7.738486356855632e-32,0.00046025501364877836,2.3097139716160434e-21,1.597235618531971e-07,0.01122394342624313,7.738486356855632e-32,3.2064989918924975e-20,6.733825643015371e-08,3.2310475245626417e-16,2.485040216560362e-27,0.00046025501364877836,3.2064989918924975e-20
NP2SPCH,4.528388574586934e-07,7.116264381113301e-15,1.5552995974445008e-07,6.390720897466819e-14,8.282929933491485e-06,4.528388574586934e-07,0.0005067890490238725,2.9108349479702743e-20,1.18821841310508e-05,1.212057170753172e-10,7.116264381113301e-15,0.0005067890490238725,1.0607056943798954e-30,0.0516947892710912,9.770653610101469e-17,1.5552995974445008e-07,2.9108349479702743e-20,1.0607056943798954e-30,3.009090386380684e-27,0.01887430994618045,6.390720897466819e-14,1.18821841310508e-05,0.0516947892710912,3.009090386380684e-27,3.749327988505216e-18,8.282929933491485e-06,1.212057170753172e-10,9.770653610101469e-17,0.01887430994618045,3.749327988505216e-18
NP2WALK,8.780740759227039e-12,8.848719385674025e-12,4.899644450470898e-06,3.7581559861817925e-25,3.9287849435131194e-07,8.780740759227039e-12,0.3803671627397087,1.3972379134501894e-21,4.371711965684516e-07,1.4743765095078215e-11,8.848719385674025e-12,0.3803671627397087,7.930984721850477e-23,5.183334211854693e-07,2.0621241184616233e-21,4.899644450470898e-06,1.3972379134501894e-21,7.930984721850477e-23,4.3296072095221405e-34,0.0023447892266533856,3.7581559861817925e-25,4.371711965684516e-07,5.183334211854693e-07,4.3296072095221405e-34,1.9430243156647043e-19,3.9287849435131194e-07,1.4743765095078215e-11,2.0621241184616233e-21,0.0023447892266533856,1.9430243156647043e-19
NP3FACXP,4.803434629392045e-05,1.2768818614093928e-06,6.731874959969322e-16,6.111297041137282e-08,2.798105151205107e-17,4.803434629392045e-05,0.08409304999307819,1.2708677228920656e-23,0.0011486695820611512,4.97972281432845e-20,1.2768818614093928e-06,0.08409304999307819,1.9820740060833024e-20,0.04698022403843908,2.365887343065715e-19,6.731874959969322e-16,1.2708677228920656e-23,1.9820740060833024e-20,9.621493764550373e-17,3.308891356677593e-06,6.111297041137282e-08,0.0011486695820611512,0.04698022403843908,9.621493764550373e-17,7.061654440444689e-16,2.798105151205107e-17,4.97972281432845e-20,2.365887343065715e-19,3.308891356677593e-06,7.061654440444689e-16
NP3FTAPL,2.8513689552752926e-06,7.3720642853141e-12,2.0403700551438986e-10,6.632476075125689e-08,3.1349093167873204e-12,2.8513689552752926e-06,0.0021227392227241193,7.116193797393204e-21,0.002850240321712597,3.457978684084598e-17,7.3720642853141e-12,0.0021227392227241193,1.6541251822489948e-25,0.2758233146837851,1.2764978016904895e-23,2.0403700551438986e-10,7.116193797393204e-21,1.6541251822489948e-25,1.963656644912773e-15,6.102801288377643e-05,6.632476075125689e-08,0.002850240321712597,0.2758233146837851,1.963656644912773e-15,4.074377732987492e-19,3.1349093167873204e-12,3.457978684084598e-17,1.2764978016904895e-23,6.102801288377643e-05,4.074377732987492e-19
NP3FTAPR,1.4952146220070604e-09,3.7064001888550926e-08,1.0542818529864326e-09,1.2063469807680636e-08,0.00011933517514164874,1.4952146220070604e-09,0.28566791112520423,1.917054232491612e-25,0.006137721073345775,3.9223072855276704e-11,3.7064001888550926e-08,0.28566791112520423,2.0748994945026134e-19,0.038073057334972064,2.096803072442517e-11,1.0542818529864326e-09,1.917054232491612e-25,2.0748994945026134e-19,1.9192699166016664e-16,0.5101121092555992,1.2063469807680636e-08,0.006137721073345775,0.038073057334972064,1.9192699166016664e-16,8.699855676266553e-13,0.00011933517514164874,3.9223072855276704e-11,2.096803072442517e-11,0.5101121092555992,8.699855676266553e-13
