,Minimal_Mild,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Very Severe,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Moderate --> Moderate to Severe,Moderate --> Severe,Moderate -->Very Severe,Moderate to Severe --> Severe,Moderate to Severe --> Very Severe,Severe_Very Severe
Shannon_Entropy,0.028279882,0.327057848,0.537237504,0.439591279,0.095724326,0.260115279,0.104256914,0.002863357,0.000111091,0.610615566,0.027688131,0.019100626,0.120618972,0.038629301,0.750972424
lbp_energy,0.085550941,0.526943182,0.868175552,0.5072763,0.037642298,0.219466478,0.056977883,0.011412383,6.77E-05,0.492286808,0.096108303,0.013870374,0.292283008,0.033916888,0.502925097
gabor_energy,0.196930752,0.104292076,0.033808899,0.002777353,8.06E-07,0.535162863,0.001184316,0.0129527,1.60E-07,0.001527734,0.02972892,3.53E-07,0.617983374,0.1577267,0.010571854
ConvexArea,0.542037363,0.981675884,0.959041461,0.308635822,0.442771037,0.242896389,0.413562266,0.039575836,0.534183321,0.904278545,0.155582776,0.319742549,0.180780857,0.382124876,0.17622975
energy,0.996706571,0.89476041,0.215320927,0.157991213,0.000247047,0.804496388,0.03591841,0.015049113,5.57E-06,0.08017895,0.032237995,0.000144103,0.372057839,0.004635179,0.194828711
Kurtosis,0.193660444,0.428271064,0.031495266,0.435662099,0.000698365,0.430488502,0.077916118,0.904459947,0.000760067,0.020129749,0.762057575,0.000968422,0.26106282,0.021195323,0.012992008
brightness,0.222650546,0.279871499,0.022039846,0.057987034,5.19E-05,0.836190742,0.03962776,0.246599974,3.69E-05,0.023410717,0.205732859,3.28E-05,0.784516519,0.006633098,0.011685313
correlation,0.045321897,0.194147295,0.591419206,0.465026314,0.91802186,0.365350232,0.150160901,0.395250863,0.303086904,0.442015122,0.772637968,0.526628491,0.835736962,0.82826162,0.742430613
Skewness,0.216376703,0.417190078,0.023164193,0.271397116,0.000174622,0.513774219,0.050943074,0.715649303,0.000240398,0.015241349,0.488131724,0.000306465,0.404166963,0.010670463,0.012735999
Major axis length,0.462262342,0.90254386,0.599113891,0.120127867,0.887843362,0.107643979,0.051338802,0.003445673,0.527588054,0.489063504,0.034345905,0.922344346,0.136491103,0.861775876,0.356753364
lbp_entropy,0.108702917,0.426343157,0.748117757,0.680030023,0.037046434,0.35898164,0.123727911,0.034640276,0.000178488,0.503241922,0.173916528,0.009059672,0.421146195,0.027156442,0.248822329
Standard Deviation,0.145672227,0.241943057,0.010652138,0.128163384,3.77E-05,0.66323014,0.033351178,0.53198031,5.40E-05,0.012800624,0.395710559,5.00E-05,0.46527753,0.006818196,0.008794268
homogeneity,0.017873911,0.279126576,0.439839135,0.542300704,0.226672822,0.235822816,0.118926277,0.005858707,0.000783265,0.679181107,0.045490317,0.048127844,0.154634718,0.081610005,0.836256182
Solidity,0.341268208,0.307365432,0.295905571,0.096186204,0.309979723,0.888926195,0.731448083,0.147882765,0.527737862,0.811852206,0.169395114,0.565117967,0.293451809,0.663572937,0.838866129
Mean,0.222650546,0.279871499,0.022039846,0.057987034,5.19E-05,0.836190742,0.03962776,0.246599974,3.69E-05,0.023410717,0.205732859,3.28E-05,0.784516519,0.006633098,0.011685313
FilledArea,0.33496438,0.874852206,0.950441987,0.360337874,0.454372784,0.129750357,0.182945023,0.026916244,0.753665055,0.89239445,0.144638574,0.407332107,0.225428321,0.414123434,0.218692095
dissimilarity,0.140159547,0.537715017,0.671735639,0.952204949,0.041397642,0.346188635,0.010030775,0.129461387,2.59E-05,0.112171368,0.486622551,0.002783034,0.721401652,0.054736232,0.063974702
EquivDiameter,0.430301063,0.84506825,0.623080396,0.105076535,0.676371268,0.068125232,0.051314414,0.001777388,0.314815773,0.589417017,0.026027057,0.678235606,0.111889587,0.861519251,0.523456506
Minor axis length,0.69156116,0.97911388,0.732998467,0.358854578,0.992034969,0.441423104,0.989540642,0.090839013,0.807975479,0.544902144,0.191861308,0.998127233,0.151586532,0.836377316,0.614536417
gabor_entropy,0.448050299,0.44746073,0.027614709,0.033224102,1.20E-05,0.884160448,0.004174227,0.039166497,3.59E-07,0.006757404,0.066072484,3.17E-06,0.928241973,0.005323817,0.009980326
Area,0.337769313,0.880680526,0.954846133,0.36158072,0.455065387,0.128632263,0.182809544,0.02750723,0.752007227,0.894125641,0.147071064,0.404868931,0.22850353,0.41287897,0.219851294
contrast,0.289665046,0.724448817,0.395045143,0.778795807,0.021223739,0.366532209,0.003843925,0.497167332,7.76E-06,0.04959216,0.958033614,0.0007429,0.257489124,0.043389683,0.012773298
NP1ANXS,0.008920537,7.94E-05,3.63E-05,7.61E-07,5.43E-09,0.002469185,5.16E-05,1.75E-08,1.57E-08,0.070764555,6.78E-05,1.76E-05,0.03647027,0.006333646,0.30648664
NP1PAIN,0.069075096,3.43E-05,9.73E-09,4.37E-11,2.96E-14,1.06E-06,1.35E-15,1.11E-16,5.98E-17,1.29E-05,1.12E-07,2.05E-09,0.073930683,0.000790861,0.037805515
NP1SLPD,1.17E-05,2.49E-10,3.87E-16,5.17E-16,1.27E-12,4.96E-06,3.18E-14,4.12E-10,4.43E-10,9.79E-05,0.00076472,1.39E-05,0.533365012,0.008731504,0.037007583
NP2DRES,0.000106313,9.67E-12,7.24E-24,3.47E-38,1.53E-29,9.85E-15,3.08E-39,5.22E-55,7.22E-39,1.80E-11,2.89E-24,2.28E-18,9.58E-08,1.20E-08,0.008919092
NP2EAT,0.004046331,4.45E-08,2.79E-14,3.25E-24,2.96E-19,5.51E-11,1.35E-28,1.81E-40,2.88E-31,5.87E-10,4.44E-18,1.30E-15,0.000726572,2.31E-05,0.03145437
NP2FREZ,0.908143178,0.21430378,0.006273883,0.000120107,4.21E-11,0.014012923,1.35E-08,1.40E-15,2.71E-45,0.000136814,1.66E-10,4.28E-40,0.00902086,1.24E-15,1.49E-05
NP2HOBB,0.00181439,5.80E-09,2.22E-16,2.74E-22,9.49E-26,2.68E-11,9.52E-32,3.01E-42,5.21E-40,5.67E-12,6.16E-22,4.52E-22,8.74E-05,7.12E-08,0.010808828
NP2HYGN,0.012662542,5.09E-06,7.98E-13,2.09E-17,2.61E-16,8.92E-07,5.84E-23,1.80E-22,1.59E-18,1.46E-09,5.56E-10,1.41E-09,0.123367992,0.003889738,0.051701208
NP2RISE,0.000460255,6.73E-08,3.23E-16,2.49E-27,3.21E-20,2.59E-06,2.15E-26,4.15E-41,7.74E-32,4.21E-13,1.51E-25,2.31E-21,9.72E-06,1.60E-07,0.011223943
NP2SPCH,0.01887431,8.28E-06,1.21E-10,9.77E-17,3.75E-18,1.56E-07,2.91E-20,1.06E-30,3.01E-27,4.53E-07,7.12E-15,6.39E-14,0.000506789,1.19E-05,0.051694789
NP2TURN,0.000313234,3.50E-06,2.87E-16,5.25E-21,2.18E-17,0.0143552,4.63E-19,1.60E-25,2.99E-23,6.97E-13,8.03E-20,2.23E-19,0.000220531,1.65E-07,0.014854515
NP2WALK,0.002344789,3.93E-07,1.47E-11,2.06E-21,1.94E-19,4.90E-06,1.40E-21,7.93E-23,4.33E-34,8.78E-12,8.85E-12,3.76E-25,0.380367163,4.37E-07,5.18E-07
NP3BRADY,0.003112025,2.32E-16,1.57E-22,8.43E-21,3.85E-14,2.05E-24,1.91E-36,2.22E-31,1.02E-17,1.22E-07,4.35E-11,3.10E-07,0.006584269,0.006433962,0.377058288
NP3FACXP,3.31E-06,2.80E-17,4.98E-20,2.37E-19,7.06E-16,6.73E-16,1.27E-23,1.98E-20,9.62E-17,4.80E-05,1.28E-06,6.11E-08,0.08409305,0.00114867,0.046980224
NP3FTAPL,6.10E-05,3.13E-12,3.46E-17,1.28E-23,4.07E-19,2.04E-10,7.12E-21,1.65E-25,1.96E-15,2.85E-06,7.37E-12,6.63E-08,0.002122739,0.00285024,0.275823315
NP3FTAPR,0.510112109,0.000119335,3.92E-11,2.10E-11,8.70E-13,1.05E-09,1.92E-25,2.07E-19,1.92E-16,1.50E-09,3.71E-08,1.21E-08,0.285667911,0.006137721,0.038073057
NP3HMOVL,0.000231032,7.52E-12,9.31E-19,1.03E-21,2.26E-18,6.96E-13,1.02E-25,1.02E-29,5.26E-17,1.17E-06,8.52E-13,1.77E-07,0.00055979,0.003280608,0.54316821
NP3HMOVR,0.114578342,6.68E-06,1.47E-12,7.98E-14,3.77E-15,1.06E-08,1.72E-24,1.39E-19,2.24E-17,4.51E-10,7.29E-09,7.41E-10,0.272749592,0.00335715,0.019538172
NP3LGAGL,0.006894834,2.15E-07,1.34E-10,4.74E-19,1.32E-20,1.23E-09,5.65E-18,7.18E-32,5.23E-36,0.000134038,5.62E-14,7.40E-20,6.24E-05,4.54E-10,0.000385437
NP3LGAGR,0.092636696,6.25E-05,7.24E-11,2.79E-12,3.12E-18,6.65E-08,3.60E-26,1.72E-28,4.89E-40,5.72E-11,2.46E-14,2.95E-23,0.016114145,2.82E-08,0.001177719
NP3POSTR,0.000773257,2.38E-12,3.02E-20,1.54E-22,1.08E-19,1.39E-15,7.15E-31,7.03E-29,4.28E-20,5.53E-08,1.61E-10,9.27E-09,0.017334542,0.001443078,0.12017641
NP3PRSPL,0.003109879,3.31E-08,3.17E-10,1.73E-13,3.32E-13,6.64E-08,7.43E-14,5.41E-18,2.60E-13,0.000332739,1.14E-08,2.82E-07,0.012191629,0.004449126,0.279668428
NP3PTRML,0.013983554,0.000951414,2.52E-05,4.91E-07,0.002962103,0.039930805,4.42E-05,7.34E-07,0.125870466,0.012756435,0.000268092,0.464328544,0.122229581,0.781388655,0.281052542
