,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP1ANXS,0.070764555,6.78E-05,0.002469185,1.76E-05,7.94E-05,0.070764555,0.03647027,5.16E-05,0.006333646,3.63E-05,6.78E-05,0.03647027,1.75E-08,0.30648664,7.61E-07,0.002469185,5.16E-05,1.75E-08,1.57E-08,0.008920537,1.76E-05,0.006333646,0.30648664,1.57E-08,5.43E-09,7.94E-05,3.63E-05,7.61E-07,0.008920537,5.43E-09
NP1PAIN,1.29E-05,1.12E-07,1.06E-06,2.05E-09,3.43E-05,1.29E-05,0.073930683,1.35E-15,0.000790861,9.73E-09,1.12E-07,0.073930683,1.11E-16,0.037805515,4.37E-11,1.06E-06,1.35E-15,1.11E-16,5.98E-17,0.069075096,2.05E-09,0.000790861,0.037805515,5.98E-17,2.96E-14,3.43E-05,9.73E-09,4.37E-11,0.069075096,2.96E-14
NP1SLPD,9.79E-05,0.00076472,4.96E-06,1.39E-05,2.49E-10,9.79E-05,0.533365012,3.18E-14,0.008731504,3.87E-16,0.00076472,0.533365012,4.12E-10,0.037007583,5.17E-16,4.96E-06,3.18E-14,4.12E-10,4.43E-10,1.17E-05,1.39E-05,0.008731504,0.037007583,4.43E-10,1.27E-12,2.49E-10,3.87E-16,5.17E-16,1.17E-05,1.27E-12
NP2DRES,1.80E-11,2.89E-24,9.85E-15,2.28E-18,9.67E-12,1.80E-11,9.58E-08,3.08E-39,1.20E-08,7.24E-24,2.89E-24,9.58E-08,5.22E-55,0.008919092,3.47E-38,9.85E-15,3.08E-39,5.22E-55,7.22E-39,0.000106313,2.28E-18,1.20E-08,0.008919092,7.22E-39,1.53E-29,9.67E-12,7.24E-24,3.47E-38,0.000106313,1.53E-29
NP2EAT,5.87E-10,4.44E-18,5.51E-11,1.30E-15,4.45E-08,5.87E-10,0.000726572,1.35E-28,2.31E-05,2.79E-14,4.44E-18,0.000726572,1.81E-40,0.03145437,3.25E-24,5.51E-11,1.35E-28,1.81E-40,2.88E-31,0.004046331,1.30E-15,2.31E-05,0.03145437,2.88E-31,2.96E-19,4.45E-08,2.79E-14,3.25E-24,0.004046331,2.96E-19
NP2FREZ,0.000136814,1.66E-10,0.014012923,4.28E-40,0.21430378,0.000136814,0.00902086,1.35E-08,1.24E-15,0.006273883,1.66E-10,0.00902086,1.40E-15,1.49E-05,0.000120107,0.014012923,1.35E-08,1.40E-15,2.71E-45,0.908143178,4.28E-40,1.24E-15,1.49E-05,2.71E-45,4.21E-11,0.21430378,0.006273883,0.000120107,0.908143178,4.21E-11
NP2HOBB,5.67E-12,6.16E-22,2.68E-11,4.52E-22,5.80E-09,5.67E-12,8.74E-05,9.52E-32,7.12E-08,2.22E-16,6.16E-22,8.74E-05,3.01E-42,0.010808828,2.74E-22,2.68E-11,9.52E-32,3.01E-42,5.21E-40,0.00181439,4.52E-22,7.12E-08,0.010808828,5.21E-40,9.49E-26,5.80E-09,2.22E-16,2.74E-22,0.00181439,9.49E-26
NP2HYGN,1.46E-09,5.56E-10,8.92E-07,1.41E-09,5.09E-06,1.46E-09,0.123367992,5.84E-23,0.003889738,7.98E-13,5.56E-10,0.123367992,1.80E-22,0.051701208,2.09E-17,8.92E-07,5.84E-23,1.80E-22,1.59E-18,0.012662542,1.41E-09,0.003889738,0.051701208,1.59E-18,2.61E-16,5.09E-06,7.98E-13,2.09E-17,0.012662542,2.61E-16
NP2RISE,4.21E-13,1.51E-25,2.59E-06,2.31E-21,6.73E-08,4.21E-13,9.72E-06,2.15E-26,1.60E-07,3.23E-16,1.51E-25,9.72E-06,4.15E-41,0.011223943,2.49E-27,2.59E-06,2.15E-26,4.15E-41,7.74E-32,0.000460255,2.31E-21,1.60E-07,0.011223943,7.74E-32,3.21E-20,6.73E-08,3.23E-16,2.49E-27,0.000460255,3.21E-20
NP2SPCH,4.53E-07,7.12E-15,1.56E-07,6.39E-14,8.28E-06,4.53E-07,0.000506789,2.91E-20,1.19E-05,1.21E-10,7.12E-15,0.000506789,1.06E-30,0.051694789,9.77E-17,1.56E-07,2.91E-20,1.06E-30,3.01E-27,0.01887431,6.39E-14,1.19E-05,0.051694789,3.01E-27,3.75E-18,8.28E-06,1.21E-10,9.77E-17,0.01887431,3.75E-18
NP2TURN,6.97E-13,8.03E-20,0.0143552,2.23E-19,3.50E-06,6.97E-13,0.000220531,4.63E-19,1.65E-07,2.87E-16,8.03E-20,0.000220531,1.60E-25,0.014854515,5.25E-21,0.0143552,4.63E-19,1.60E-25,2.99E-23,0.000313234,2.23E-19,1.65E-07,0.014854515,2.99E-23,2.18E-17,3.50E-06,2.87E-16,5.25E-21,0.000313234,2.18E-17
NP2WALK,8.78E-12,8.85E-12,4.90E-06,3.76E-25,3.93E-07,8.78E-12,0.380367163,1.40E-21,4.37E-07,1.47E-11,8.85E-12,0.380367163,7.93E-23,5.18E-07,2.06E-21,4.90E-06,1.40E-21,7.93E-23,4.33E-34,0.002344789,3.76E-25,4.37E-07,5.18E-07,4.33E-34,1.94E-19,3.93E-07,1.47E-11,2.06E-21,0.002344789,1.94E-19
NP3BRADY,1.22E-07,4.35E-11,2.05E-24,3.10E-07,2.32E-16,1.22E-07,0.006584269,1.91E-36,0.006433962,1.57E-22,4.35E-11,0.006584269,2.22E-31,0.377058288,8.43E-21,2.05E-24,1.91E-36,2.22E-31,1.02E-17,0.003112025,3.10E-07,0.006433962,0.377058288,1.02E-17,3.85E-14,2.32E-16,1.57E-22,8.43E-21,0.003112025,3.85E-14
