,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
Shannon_Entropy,6.11E-01,2.77E-02,2.60E-01,1.91E-02,3.27E-01,6.11E-01,1.21E-01,1.04E-01,3.86E-02,5.37E-01,2.77E-02,1.21E-01,2.86E-03,7.51E-01,4.40E-01,2.60E-01,1.04E-01,2.86E-03,1.11E-04,2.83E-02,1.91E-02,3.86E-02,7.51E-01,1.11E-04,9.57E-02,3.27E-01,5.37E-01,4.40E-01,2.83E-02,9.57E-02
lbp_energy,4.92E-01,9.61E-02,2.19E-01,1.39E-02,5.27E-01,4.92E-01,2.92E-01,5.70E-02,3.39E-02,8.68E-01,9.61E-02,2.92E-01,1.14E-02,5.03E-01,5.07E-01,2.19E-01,5.70E-02,1.14E-02,6.77E-05,8.56E-02,1.39E-02,3.39E-02,5.03E-01,6.77E-05,3.76E-02,5.27E-01,8.68E-01,5.07E-01,8.56E-02,3.76E-02
gabor_energy,1.53E-03,2.97E-02,5.35E-01,3.53E-07,1.04E-01,1.53E-03,6.18E-01,1.18E-03,1.58E-01,3.38E-02,2.97E-02,6.18E-01,1.30E-02,1.06E-02,2.78E-03,5.35E-01,1.18E-03,1.30E-02,1.60E-07,1.97E-01,3.53E-07,1.58E-01,1.06E-02,1.60E-07,8.06E-07,1.04E-01,3.38E-02,2.78E-03,1.97E-01,8.06E-07
ConvexArea,9.04E-01,1.56E-01,2.43E-01,3.20E-01,9.82E-01,9.04E-01,1.81E-01,4.14E-01,3.82E-01,9.59E-01,1.56E-01,1.81E-01,3.96E-02,1.76E-01,3.09E-01,2.43E-01,4.14E-01,3.96E-02,5.34E-01,5.42E-01,3.20E-01,3.82E-01,1.76E-01,5.34E-01,4.43E-01,9.82E-01,9.59E-01,3.09E-01,5.42E-01,4.43E-01
energy,8.02E-02,3.22E-02,8.04E-01,1.44E-04,8.95E-01,8.02E-02,3.72E-01,3.59E-02,4.64E-03,2.15E-01,3.22E-02,3.72E-01,1.50E-02,1.95E-01,1.58E-01,8.04E-01,3.59E-02,1.50E-02,5.57E-06,9.97E-01,1.44E-04,4.64E-03,1.95E-01,5.57E-06,2.47E-04,8.95E-01,2.15E-01,1.58E-01,9.97E-01,2.47E-04
Kurtosis,2.01E-02,7.62E-01,4.30E-01,9.68E-04,4.28E-01,2.01E-02,2.61E-01,7.79E-02,2.12E-02,3.15E-02,7.62E-01,2.61E-01,9.04E-01,1.30E-02,4.36E-01,4.30E-01,7.79E-02,9.04E-01,7.60E-04,1.94E-01,9.68E-04,2.12E-02,1.30E-02,7.60E-04,6.98E-04,4.28E-01,3.15E-02,4.36E-01,1.94E-01,6.98E-04
brightness,2.34E-02,2.06E-01,8.36E-01,3.28E-05,2.80E-01,2.34E-02,7.85E-01,3.96E-02,6.63E-03,2.20E-02,2.06E-01,7.85E-01,2.47E-01,1.17E-02,5.80E-02,8.36E-01,3.96E-02,2.47E-01,3.69E-05,2.23E-01,3.28E-05,6.63E-03,1.17E-02,3.69E-05,5.19E-05,2.80E-01,2.20E-02,5.80E-02,2.23E-01,5.19E-05
correlation,4.42E-01,7.73E-01,3.65E-01,5.27E-01,1.94E-01,4.42E-01,8.36E-01,1.50E-01,8.28E-01,5.91E-01,7.73E-01,8.36E-01,3.95E-01,7.42E-01,4.65E-01,3.65E-01,1.50E-01,3.95E-01,3.03E-01,4.53E-02,5.27E-01,8.28E-01,7.42E-01,3.03E-01,9.18E-01,1.94E-01,5.91E-01,4.65E-01,4.53E-02,9.18E-01
Skewness,1.52E-02,4.88E-01,5.14E-01,3.06E-04,4.17E-01,1.52E-02,4.04E-01,5.09E-02,1.07E-02,2.32E-02,4.88E-01,4.04E-01,7.16E-01,1.27E-02,2.71E-01,5.14E-01,5.09E-02,7.16E-01,2.40E-04,2.16E-01,3.06E-04,1.07E-02,1.27E-02,2.40E-04,1.75E-04,4.17E-01,2.32E-02,2.71E-01,2.16E-01,1.75E-04
Major axis length,4.89E-01,3.43E-02,1.08E-01,9.22E-01,9.03E-01,4.89E-01,1.36E-01,5.13E-02,8.62E-01,5.99E-01,3.43E-02,1.36E-01,3.45E-03,3.57E-01,1.20E-01,1.08E-01,5.13E-02,3.45E-03,5.28E-01,4.62E-01,9.22E-01,8.62E-01,3.57E-01,5.28E-01,8.88E-01,9.03E-01,5.99E-01,1.20E-01,4.62E-01,8.88E-01
lbp_entropy,5.03E-01,1.74E-01,3.59E-01,9.06E-03,4.26E-01,5.03E-01,4.21E-01,1.24E-01,2.72E-02,7.48E-01,1.74E-01,4.21E-01,3.46E-02,2.49E-01,6.80E-01,3.59E-01,1.24E-01,3.46E-02,1.78E-04,1.09E-01,9.06E-03,2.72E-02,2.49E-01,1.78E-04,3.70E-02,4.26E-01,7.48E-01,6.80E-01,1.09E-01,3.70E-02
Standard Deviation,1.28E-02,3.96E-01,6.63E-01,5.00E-05,2.42E-01,1.28E-02,4.65E-01,3.34E-02,6.82E-03,1.07E-02,3.96E-01,4.65E-01,5.32E-01,8.79E-03,1.28E-01,6.63E-01,3.34E-02,5.32E-01,5.40E-05,1.46E-01,5.00E-05,6.82E-03,8.79E-03,5.40E-05,3.77E-05,2.42E-01,1.07E-02,1.28E-01,1.46E-01,3.77E-05
homogeneity,6.79E-01,4.55E-02,2.36E-01,4.81E-02,2.79E-01,6.79E-01,1.55E-01,1.19E-01,8.16E-02,4.40E-01,4.55E-02,1.55E-01,5.86E-03,8.36E-01,5.42E-01,2.36E-01,1.19E-01,5.86E-03,7.83E-04,1.79E-02,4.81E-02,8.16E-02,8.36E-01,7.83E-04,2.27E-01,2.79E-01,4.40E-01,5.42E-01,1.79E-02,2.27E-01
Solidity,8.12E-01,1.69E-01,8.89E-01,5.65E-01,3.07E-01,8.12E-01,2.93E-01,7.31E-01,6.64E-01,2.96E-01,1.69E-01,2.93E-01,1.48E-01,8.39E-01,9.62E-02,8.89E-01,7.31E-01,1.48E-01,5.28E-01,3.41E-01,5.65E-01,6.64E-01,8.39E-01,5.28E-01,3.10E-01,3.07E-01,2.96E-01,9.62E-02,3.41E-01,3.10E-01
Mean,2.34E-02,2.06E-01,8.36E-01,3.28E-05,2.80E-01,2.34E-02,7.85E-01,3.96E-02,6.63E-03,2.20E-02,2.06E-01,7.85E-01,2.47E-01,1.17E-02,5.80E-02,8.36E-01,3.96E-02,2.47E-01,3.69E-05,2.23E-01,3.28E-05,6.63E-03,1.17E-02,3.69E-05,5.19E-05,2.80E-01,2.20E-02,5.80E-02,2.23E-01,5.19E-05
FilledArea,8.92E-01,1.45E-01,1.30E-01,4.07E-01,8.75E-01,8.92E-01,2.25E-01,1.83E-01,4.14E-01,9.50E-01,1.45E-01,2.25E-01,2.69E-02,2.19E-01,3.60E-01,1.30E-01,1.83E-01,2.69E-02,7.54E-01,3.35E-01,4.07E-01,4.14E-01,2.19E-01,7.54E-01,4.54E-01,8.75E-01,9.50E-01,3.60E-01,3.35E-01,4.54E-01
dissimilarity,1.12E-01,4.87E-01,3.46E-01,2.78E-03,5.38E-01,1.12E-01,7.21E-01,1.00E-02,5.47E-02,6.72E-01,4.87E-01,7.21E-01,1.29E-01,6.40E-02,9.52E-01,3.46E-01,1.00E-02,1.29E-01,2.59E-05,1.40E-01,2.78E-03,5.47E-02,6.40E-02,2.59E-05,4.14E-02,5.38E-01,6.72E-01,9.52E-01,1.40E-01,4.14E-02
EquivDiameter,5.89E-01,2.60E-02,6.81E-02,6.78E-01,8.45E-01,5.89E-01,1.12E-01,5.13E-02,8.62E-01,6.23E-01,2.60E-02,1.12E-01,1.78E-03,5.23E-01,1.05E-01,6.81E-02,5.13E-02,1.78E-03,3.15E-01,4.30E-01,6.78E-01,8.62E-01,5.23E-01,3.15E-01,6.76E-01,8.45E-01,6.23E-01,1.05E-01,4.30E-01,6.76E-01
Minor axis length,5.45E-01,1.92E-01,4.41E-01,9.98E-01,9.79E-01,5.45E-01,1.52E-01,9.90E-01,8.36E-01,7.33E-01,1.92E-01,1.52E-01,9.08E-02,6.15E-01,3.59E-01,4.41E-01,9.90E-01,9.08E-02,8.08E-01,6.92E-01,9.98E-01,8.36E-01,6.15E-01,8.08E-01,9.92E-01,9.79E-01,7.33E-01,3.59E-01,6.92E-01,9.92E-01
gabor_entropy,6.76E-03,6.61E-02,8.84E-01,3.17E-06,4.47E-01,6.76E-03,9.28E-01,4.17E-03,5.32E-03,2.76E-02,6.61E-02,9.28E-01,3.92E-02,9.98E-03,3.32E-02,8.84E-01,4.17E-03,3.92E-02,3.59E-07,4.48E-01,3.17E-06,5.32E-03,9.98E-03,3.59E-07,1.20E-05,4.47E-01,2.76E-02,3.32E-02,4.48E-01,1.20E-05
Area,8.94E-01,1.47E-01,1.29E-01,4.05E-01,8.81E-01,8.94E-01,2.29E-01,1.83E-01,4.13E-01,9.55E-01,1.47E-01,2.29E-01,2.75E-02,2.20E-01,3.62E-01,1.29E-01,1.83E-01,2.75E-02,7.52E-01,3.38E-01,4.05E-01,4.13E-01,2.20E-01,7.52E-01,4.55E-01,8.81E-01,9.55E-01,3.62E-01,3.38E-01,4.55E-01
contrast,4.96E-02,9.58E-01,3.67E-01,7.43E-04,7.24E-01,4.96E-02,2.57E-01,3.84E-03,4.34E-02,3.95E-01,9.58E-01,2.57E-01,4.97E-01,1.28E-02,7.79E-01,3.67E-01,3.84E-03,4.97E-01,7.76E-06,2.90E-01,7.43E-04,4.34E-02,1.28E-02,7.76E-06,2.12E-02,7.24E-01,3.95E-01,7.79E-01,2.90E-01,2.12E-02
