,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Very Severe,Mild_Minimal,Very Severe_Minimal
Area,0.8941256407987794,0.14707106351949045,0.12863226344364306,0.40486893057162054,0.8806805262407217,0.22850353023960224,0.18280954399766253,0.4128789700346396,0.9548461330822906,0.027507229948687227,0.2198512944293853,0.36158072018338383,0.7520072271289866,0.3377693126352691,0.4550653868525316
Circularity,0.11527519688627788,0.03302889219058645,0.9907097859151001,0.759171116014324,0.857048561908668,0.47350309172608906,0.14067445177010765,0.7548170094442912,0.345855714768344,0.04489382922624728,0.5149261943542537,0.18390157963990195,0.7655680925087089,0.8685895705402122,0.68720012545384
ConvexArea,0.9042785448782694,0.1555827763676837,0.24289638853428464,0.319742548753029,0.9816758840060562,0.18078085749577125,0.41356226568279886,0.38212487618637325,0.9590414608318559,0.0395758356914478,0.17622975030704777,0.30863582243577636,0.5341833206037812,0.5420373627884811,0.44277103687788855
EquivDiameter,0.5894170165323951,0.026027057358823668,0.06812523182933425,0.6782356061511504,0.8450682500187336,0.11188958673649967,0.05131441435397034,0.8615192505063302,0.6230803958061646,0.0017773879871837883,0.5234565057956433,0.10507653539283185,0.314815773157323,0.43030106313280025,0.6763712677438787
Extent,0.8988528341062834,0.11550154271747312,0.5469638152091545,0.057556779725567705,0.166426816872568,0.21979802685290956,0.5519741837001595,0.11320380503041089,0.26813160475230985,0.04711414323653188,0.4719904355661998,0.8703827354527748,0.02408025650890054,0.0665982592500781,0.28200697067605895
FilledArea,0.8923944501813221,0.14463857416479298,0.1297503572350288,0.40733210742656045,0.874852206241886,0.2254283212323283,0.18294502316420178,0.41412343398756724,0.9504419869656338,0.02691624353533963,0.21869209469183953,0.3603378739584997,0.7536650550386896,0.33496438043511423,0.4543727835004284
Kurtosis,0.020129748816515778,0.7620575750687288,0.43048850220088,0.0009684224170021566,0.42827106390564407,0.26106281985691043,0.07791611764875074,0.021195322585630942,0.03149526591259159,0.9044599468912664,0.012992007811069363,0.4356620986271731,0.0007600671944793283,0.19366044407179095,0.0006983647242906033
Major axis length,0.4890635043485707,0.03434590470378042,0.10764397872372902,0.9223443457864977,0.902543860274593,0.13649110274539616,0.05133880205545924,0.8617758763314443,0.5991138913178382,0.003445672646878898,0.35675336380519107,0.12012786672337833,0.5275880540017468,0.46226234170845004,0.8878433622039753
Mean,0.023410716755544677,0.20573285914821174,0.8361907415027786,3.283786919756211e-05,0.2798714991093183,0.7845165194196982,0.039627760122061075,0.00663309800248724,0.022039845843178286,0.2465999739885534,0.011685313403244807,0.05798703372491512,3.6886506636069434e-05,0.222650546304952,5.19302956767498e-05
Minor axis length,0.5449021439062156,0.19186130818771324,0.4414231035103936,0.998127232526189,0.979113880040609,0.15158653223085924,0.9895406424538224,0.8363773158697552,0.7329984672441312,0.09083901250451817,0.6145364174259013,0.3588545778137292,0.807975479254573,0.691561160071541,0.9920349689876066
