,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP3POSTR,5.5252874385283204e-08,1.6078537521332925e-10,1.3909221006686302e-15,9.26897854812904e-09,2.382223467396695e-12,5.5252874385283204e-08,0.017334541700327402,7.147624146539106e-31,0.0014430780339732647,3.020171836560626e-20,1.6078537521332925e-10,0.017334541700327402,7.029968751390015e-29,0.1201764099489212,1.5416914243821696e-22,1.3909221006686302e-15,7.147624146539106e-31,7.029968751390015e-29,4.2786458159478736e-20,0.0007732574064461444,9.26897854812904e-09,0.0014430780339732647,0.1201764099489212,4.2786458159478736e-20,1.082523321756985e-19,2.382223467396695e-12,3.020171836560626e-20,1.5416914243821696e-22,0.0007732574064461444,1.082523321756985e-19
DATSCAN_PUTAMEN_R,0.016767329459787966,0.0004593032148310812,0.0015644144530753102,0.07070853030251457,6.906426939551734e-06,0.016767329459787966,0.07366958865667819,3.1060952493978186e-06,0.40973850757711205,1.0954110729120877e-07,0.0004593032148310812,0.07366958865667819,8.435278884922854e-07,0.8021239039844279,3.192703665331737e-08,0.0015644144530753102,3.1060952493978186e-06,8.435278884922854e-07,0.007357045323257453,0.009756393716216637,0.07070853030251457,0.40973850757711205,0.8021239039844279,0.007357045323257453,0.0010709210435857915,6.906426939551734e-06,1.0954110729120877e-07,3.192703665331737e-08,0.009756393716216637,0.0010709210435857915
NP2DRES,1.8016153120850482e-11,2.8882829523751027e-24,9.850814215634932e-15,2.275736709597729e-18,9.670942909171984e-12,1.8016153120850482e-11,9.576808993406636e-08,3.078576090824576e-39,1.1986866685160301e-08,7.241011806458401e-24,2.8882829523751027e-24,9.576808993406636e-08,5.22150044596213e-55,0.008919092190189175,3.4661741364372853e-38,9.850814215634932e-15,3.078576090824576e-39,5.22150044596213e-55,7.215406016691725e-39,0.00010631300118118134,2.275736709597729e-18,1.1986866685160301e-08,0.008919092190189175,7.215406016691725e-39,1.5327609689369379e-29,9.670942909171984e-12,7.241011806458401e-24,3.4661741364372853e-38,0.00010631300118118134,1.5327609689369379e-29
NP3RIGN,8.504088914038816e-05,0.0001457001970031976,8.809067880347485e-21,1.2189636824285875e-06,2.8028564731660245e-10,8.504088914038816e-05,0.3124297388787738,4.431756189696402e-31,0.0023566169022352793,7.491270658724679e-16,0.0001457001970031976,0.3124297388787738,7.303230395726383e-23,0.03373770462228447,6.327228625722841e-15,8.809067880347485e-21,4.431756189696402e-31,7.303230395726383e-23,1.3115991530028711e-20,0.0553221089562059,1.2189636824285875e-06,0.0023566169022352793,0.03373770462228447,1.3115991530028711e-20,4.772997547132636e-16,2.8028564731660245e-10,7.491270658724679e-16,6.327228625722841e-15,0.0553221089562059,4.772997547132636e-16
NHY,8.760380750696551e-06,9.515896276148074e-05,5.546279069682613e-23,8.690680326590954e-22,1.571231859867348e-16,8.760380750696551e-06,0.5364746496506088,2.0854883199615608e-27,2.504624424207417e-11,4.770268700122887e-19,9.515896276148074e-05,0.5364746496506088,5.591198861678317e-17,6.581584370666153e-08,1.5189526013640493e-16,5.546279069682613e-23,2.0854883199615608e-27,5.591198861678317e-17,4.7713669612701354e-26,0.022770357737678902,8.690680326590954e-22,2.504624424207417e-11,6.581584370666153e-08,4.7713669612701354e-26,7.313809097783533e-14,1.571231859867348e-16,4.770268700122887e-19,1.5189526013640493e-16,0.022770357737678902,7.313809097783533e-14
NP2HOBB,5.672645177513652e-12,6.158971767059597e-22,2.6794091638103227e-11,4.519887048586914e-22,5.804704327121952e-09,5.672645177513652e-12,8.735376786123185e-05,9.52205268350283e-32,7.116783658243374e-08,2.2156787122506493e-16,6.158971767059597e-22,8.735376786123185e-05,3.0129009767623486e-42,0.010808828420269707,2.7448934501853975e-22,2.6794091638103227e-11,9.52205268350283e-32,3.0129009767623486e-42,5.209003396446961e-40,0.0018143902309139175,4.519887048586914e-22,7.116783658243374e-08,0.010808828420269707,5.209003396446961e-40,9.49335080922271e-26,5.804704327121952e-09,2.2156787122506493e-16,2.7448934501853975e-22,0.0018143902309139175,9.49335080922271e-26
DATSCAN_CAUDATE_R,0.0001246613883261787,0.0001611571697304988,0.009889330735043254,0.0011651712388296496,0.004221596973721053,0.0001246613883261787,0.23967539719406883,4.700351739399897e-09,0.07836238878068388,1.2271679331511288e-06,0.0001611571697304988,0.23967539719406883,1.616383720217257e-07,0.3446659168003875,5.0297914354468235e-06,0.009889330735043254,4.700351739399897e-09,1.616383720217257e-07,3.140937485478107e-05,0.12462869175568221,0.0011651712388296496,0.07836238878068388,0.3446659168003875,3.140937485478107e-05,0.00034641649322983604,0.004221596973721053,1.2271679331511288e-06,5.0297914354468235e-06,0.12462869175568221,0.00034641649322983604
DATSCAN_CAUDATE_L,1.775826881723716e-05,0.0008064000773512291,0.007369445095406332,3.156606130115541e-06,0.04979753979872896,1.775826881723716e-05,0.61358945089964,6.862054431603652e-10,0.0021994116749196814,1.9825312432106835e-05,0.0008064000773512291,0.61358945089964,4.002563892608759e-06,0.02850166756907591,0.0006399781410541984,0.007369445095406332,6.862054431603652e-10,4.002563892608759e-06,9.38477161255747e-08,0.6075174074736616,3.156606130115541e-06,0.0021994116749196814,0.02850166756907591,9.38477161255747e-08,3.314679449301146e-05,0.04979753979872896,1.9825312432106835e-05,0.0006399781410541984,0.6075174074736616,3.314679449301146e-05
DATSCAN_PUTAMEN_L_ANT,5.128913387706443e-06,0.00023516277973165204,0.0013771237938230985,2.422433058507784e-05,0.024419068533909686,5.128913387706443e-06,0.454062220403079,1.6311821304865513e-11,0.005680511085200542,3.2683109100507967e-07,0.00023516277973165204,0.454062220403079,4.2010704475793974e-07,0.07864249446218147,3.5089474303407695e-05,0.0013771237938230985,1.6311821304865513e-11,4.2010704475793974e-07,8.270551170899473e-07,0.6678514213471656,2.422433058507784e-05,0.005680511085200542,0.07864249446218147,8.270551170899473e-07,3.911224641903109e-06,0.024419068533909686,3.2683109100507967e-07,3.5089474303407695e-05,0.6678514213471656,3.911224641903109e-06
NP2TURN,6.972519467748002e-13,8.027492045634636e-20,0.014355199667060059,2.2318543878445085e-19,3.5030636619518403e-06,6.972519467748002e-13,0.00022053144038344729,4.634112342322905e-19,1.6542628734443787e-07,2.868459216168845e-16,8.027492045634636e-20,0.00022053144038344729,1.603010316256164e-25,0.014854514815681005,5.245076879132926e-21,0.014355199667060059,4.634112342322905e-19,1.603010316256164e-25,2.9883917530248385e-23,0.00031323414439500096,2.2318543878445085e-19,1.6542628734443787e-07,0.014854514815681005,2.9883917530248385e-23,2.1834365499395232e-17,3.5030636619518403e-06,2.868459216168845e-16,5.245076879132926e-21,0.00031323414439500096,2.1834365499395232e-17
