,V1_V2,V1_V3,V1_V4,V2_V3,V2_V4,V3_V4
NP3POSTR,0.019759486999276068,0.006926669122015904,1.4119862968036464e-05,0.7107783856859626,0.032703838642273615,0.07471146080558687
DATSCAN_PUTAMEN_R,0.00021271683578218318,2.6861788117555067e-07,1.7422678852693992e-20,0.15424865386813447,9.62368933095751e-09,9.563818065233706e-06
NP2DRES,0.00396161938348705,0.001748112712994156,2.4557211458361245e-10,0.7748576851671135,0.00018490689637306744,0.0005774163896397626
NP3RIGN,0.11021567599252242,0.005580337487737635,0.0001086034303055439,0.20963756221304564,0.017387288447214922,0.2748899948512133
NHY,3.6074756714466445e-05,1.627767513451321e-06,1.7659792408806022e-17,0.449165139093062,5.644626086757706e-06,0.00020107724691900185
NP2HOBB,0.0308327513324785,0.007513230581923524,5.8868309686234354e-08,0.6288525162162715,0.0009297439055879213,0.004048054461887821
DATSCAN_CAUDATE_R,0.0004253771618734506,1.5967248076151994e-07,4.1890188147387474e-19,0.05605055541605556,2.9494956055736687e-09,6.356100347118694e-05
DATSCAN_CAUDATE_L,0.00018951847845728048,9.119687602291112e-08,1.5829172367678587e-20,0.07969521067092838,3.353310086197678e-10,2.91180872999948e-06
DATSCAN_PUTAMEN_L_ANT,0.00011013988144090756,4.752674652450021e-08,1.3641182079938058e-22,0.06467713073296788,3.9794677202424635e-12,2.6979622773083535e-07
NP2TURN,3.869872061981302e-05,0.0007840495640072737,2.8310862238710513e-13,0.4899447719756571,0.00034567704059864404,2.973536217992808e-05
DATSCAN_PUTAMEN_R_ANT,2.3397460236770542e-05,1.1230715000949516e-08,2.120918309985697e-23,0.13981673089619764,1.1927245617888433e-09,1.9944215838057913e-06
Shannon_Entropy,0.42055587391623384,0.316262858343744,0.07021595428947384,0.7662183661862865,0.19503432175054897,0.30757962008270967
NP3BRADY,0.24399280691264677,0.040007766536100275,0.0025949585523568383,0.38816655148144963,0.07919380505761606,0.3853639051050256
NP3LGAGR,0.8379416504488452,0.2870800657848742,0.00036453685780303373,0.22208065338494132,0.00027568708357992243,0.013588189830711228
DATSCAN_PUTAMEN_L,0.00019114453576599943,2.5517052021965095e-07,3.886267083166525e-20,0.10699986985971513,2.3150347715648855e-10,1.6009261479575401e-06
Circularity,0.9522139700278411,0.13071343858497275,0.023384079239967923,0.14246894971486526,0.02590127150748202,0.4246002071604842
correlation,0.3506168675705399,0.2586978234642002,0.9038469235149955,0.841679558641713,0.38842287470198256,0.3079261362563465
NP3HMOVR,0.10572903489839548,0.11829169055431107,0.01673608004047319,0.9583311202771279,0.48318668831187195,0.4507543076018048
Major axis length,0.1223522585150756,0.21186028553016248,0.7985613992593452,0.7605740939218095,0.19761950916166315,0.3217870531287002
NP3TTAPL,0.20150105350465197,0.10852587813782918,6.293130917020184e-07,0.7869844958755114,0.0001910594229055924,0.00030948538186339894
