Classifier,Training_Accuracy,Testing_Accuracy,CI_Lower,CI_Upper,Precision,Recall,F1_Score,AUC_ROC,MCC,Cohen_Kappa
Random Forest,1.0,0.6459854014598541,0.5877003386061406,0.7002336520213284,0.6910514461803895,0.6459854014598541,0.611485077553527,0.8756060746474549,0.4900669048211334,0.4804417945459878
Logistic Regression,0.9952978056426333,0.8357664233576643,0.787313909325135,0.8749342691180434,0.8435850039870924,0.8357664233576643,0.8298337111765666,0.9791504724707991,0.7741560671132965,0.7708689511633093
AdaBoost,0.5877742946708464,0.5620437956204379,0.5028418746432076,0.6195300713734665,0.5030700130470044,0.5620437956204379,0.5166202543951754,0.7362356786937675,0.3696403336422075,0.35938900362389425
Decision Tree,1.0,0.44525547445255476,0.3875687529069493,0.50445600060775,0.45667218479153876,0.44525547445255476,0.4452115065743399,0.6198371674643965,0.24384693015635223,0.24274986817942135
Gradient Boosting,1.0,0.656934306569343,0.5989011639713756,0.7106278759531534,0.6551588581970856,0.656934306569343,0.6365428450334862,0.8831107860650439,0.5139943740664484,0.5101280027388402
KNN,0.7272727272727273,0.5693430656934306,0.5101523939035852,0.6266162516444624,0.6058271460111485,0.5693430656934306,0.5512365598353113,0.8494460059049878,0.4087806418628074,0.3989329069918761
SVM,0.9796238244514106,0.8284671532846716,0.7793674664578324,0.8684840124539724,0.8610258648563676,0.8284671532846716,0.8179059508123399,0.9836157239002878,0.7669222505396622,0.7593347037936834
Naïve Bayes,0.5454545454545454,0.48905109489051096,0.4304241971275263,0.5479807535754136,0.6645683923740493,0.48905109489051096,0.4836860459118601,0.7921391206970502,0.3916036737623074,0.36223980847243464
XGB,1.0,0.635036496350365,0.5765312353200008,0.6898077060104079,0.6416001078160436,0.635036496350365,0.614500480906617,0.8732809715316212,0.4790007402467463,0.4742497505564509
Extra Trees,1.0,0.656934306569343,0.5989011639713756,0.7106278759531534,0.6458081334723671,0.656934306569343,0.6199197363503286,0.9125094813071403,0.5065951833426815,0.4982955762900052
Bagging (DT),1.0,0.6605839416058394,0.6026419392667658,0.7140854504234501,0.6501767669650881,0.6605839416058394,0.6246764191765779,0.8816037992134009,0.5127356841942358,0.5052327048909773
Voting (Hard),1.0,0.6751824817518248,0.6176416157701733,0.7278791729827893,0.6961176353812548,0.6751824817518248,0.6492182801101705,,0.5362602089612181,0.5296727034272599
Voting (Soft),1.0,0.6751824817518248,0.6176416157701733,0.7278791729827893,0.6882746954506588,0.6751824817518248,0.6480612924238948,0.8967540828240071,0.5373720722020229,0.5313088602729195
Stacking,1.0,0.708029197080292,0.6516136962135752,0.7586922404305678,0.7032300291733513,0.708029197080292,0.684335471306396,0.9426245436328444,0.5883815694403847,0.5837447778199772
