Classifier,Training_Accuracy,Testing_Accuracy,CI_Lower,CI_Upper,Precision,Recall,F1_Score,AUC_ROC,MCC,Cohen_Kappa
Random Forest,1.0,0.8978102189781022,0.8562718368424493,0.9283482876174032,0.8991163613969866,0.8978102189781022,0.8965659119208382,0.9624559977492296,0.859397489015451,0.8587316785740591
Logistic Regression,0.95141065830721,0.8905109489051095,0.8480009143929628,0.9222225105355164,0.8944697166377547,0.8905109489051095,0.8878424436968535,0.9863285837052244,0.8497232179487058,0.8481377475613361
AdaBoost,0.8401253918495298,0.7518248175182481,0.6974328331465667,0.7992533006858169,0.6359362364837768,0.7518248175182481,0.6878085191230394,0.9638100090510414,0.6523402017318627,0.6404199475065617
Decision Tree,1.0,0.8503649635036497,0.8032980763280692,0.8877435011778562,0.8560736990817046,0.8503649635036497,0.8501739628487212,0.9006036431783657,0.7939047570712214,0.7931580497864192
Gradient Boosting,1.0,0.8722627737226277,0.8275305008354443,0.9067011752646013,0.876910745247218,0.8722627737226277,0.871612924113492,0.9757975277163231,0.8244241280182559,0.8235283293156432
KNN,0.9561128526645768,0.9051094890510949,0.8645964781430006,0.9344203458482255,0.9079181334374271,0.9051094890510949,0.9043073042013761,0.9613684098450443,0.8695860862617181,0.8685851318944844
SVM,0.9561128526645768,0.9051094890510949,0.8645964781430006,0.9344203458482255,0.9096708295750316,0.9051094890510949,0.9041335032913894,0.9889416377680954,0.8698242208594393,0.868747351548538
Naïve Bayes,0.9482758620689655,0.8941605839416058,0.8521299616316169,0.9252918130625489,0.906859188661201,0.8941605839416058,0.8957435553162265,0.9868531398358314,0.8549694458047238,0.8537563956270475
XGB,1.0,0.9087591240875912,0.8687805858631963,0.9374345878937163,0.9116634555311082,0.9087591240875912,0.9085323898393058,0.9749916359803771,0.8745801150455165,0.873604576067903
Extra Trees,1.0,0.8832116788321168,0.8397791777911148,0.916047547605991,0.8876294034272808,0.8832116788321168,0.8821344052084955,0.978019959768138,0.8393682390881018,0.8381660791081416
Bagging (DT),1.0,0.8832116788321168,0.8397791777911148,0.916047547605991,0.888389113216338,0.8832116788321168,0.8832043810877392,0.9706369949895143,0.8392425381816043,0.8384672070744289
Voting (Hard),1.0,0.9051094890510949,0.8645964781430006,0.9344203458482255,0.9090541651852505,0.9051094890510949,0.9046994247980558,,0.8697480564049894,0.8689477557027225
Voting (Soft),1.0,0.8978102189781022,0.8562718368424493,0.9283482876174032,0.902393431440959,0.8978102189781022,0.8972130389889499,0.9725896119379664,0.859836338588751,0.8586119199439755
Stacking,1.0,0.9014598540145985,0.8604271286336853,0.9313913455918539,0.9050124258628195,0.9014598540145985,0.9008486167389428,0.9799442868992629,0.8645129015359218,0.8632835600236547
